node_type,mode,threshold_from,threshold_to,n_nodes,centroid_sim_mean,centroid_sim_median,centroid_sim_std,centroid_sim_min,centroid_sim_max,high_stable_pct,moderate_pct,low_stable_pct
implementation_mechanism,both,0.9,0.95,2329,0.9677,0.9945,0.0581,0.4878,0.9993,0.9729,0.0266,0.0004
validation_evidence,unconstrained,EDGE,0.8,2224,0.9351,0.9651,0.0651,0.5173,0.9949,0.9433,0.0567,0.0
validation_evidence,unconstrained,0.8,0.85,2706,0.9517,0.9753,0.0589,0.6239,0.9987,0.969,0.031,0.0
validation_evidence,unconstrained,0.85,0.9,2405,0.9464,0.968,0.0585,0.6589,0.9986,0.9588,0.0412,0.0
validation_evidence,unconstrained,0.9,0.95,2351,0.9686,0.9893,0.0475,0.4867,1.0,0.9915,0.0081,0.0004
validation_evidence,single_risk,EDGE,0.8,2222,0.9397,0.9723,0.0632,0.5594,0.9937,0.9568,0.0432,0.0
validation_evidence,single_risk,0.8,0.85,2665,0.9487,0.9769,0.0603,0.5478,0.9991,0.9756,0.0244,0.0
validation_evidence,single_risk,0.85,0.9,2386,0.9449,0.9737,0.0619,0.6072,0.9991,0.9644,0.0356,0.0
validation_evidence,single_risk,0.9,0.95,2349,0.9688,0.9867,0.044,0.6295,1.0,0.9906,0.0094,0.0
validation_evidence,monotonic,EDGE,0.8,2163,0.9343,0.9626,0.0668,0.6068,0.9958,0.9482,0.0518,0.0
validation_evidence,monotonic,0.8,0.85,2479,0.9524,0.9831,0.0592,0.6127,0.9969,0.9701,0.0299,0.0
validation_evidence,monotonic,0.85,0.9,2320,0.9485,0.9711,0.0568,0.6645,1.0,0.969,0.031,0.0
validation_evidence,monotonic,0.9,0.95,2295,0.9657,0.985,0.0464,0.6936,0.9996,0.9861,0.0139,0.0
validation_evidence,both,EDGE,0.8,2160,0.9373,0.966,0.0655,0.5511,0.9967,0.9468,0.0532,0.0
validation_evidence,both,0.8,0.85,2439,0.9479,0.9682,0.0619,0.5514,0.999,0.9656,0.0344,0.0
validation_evidence,both,0.85,0.9,2314,0.9533,0.9784,0.0575,0.654,0.9968,0.9667,0.0333,0.0
validation_evidence,both,0.9,0.95,2294,0.9704,0.9914,0.0474,0.7458,0.9993,0.9856,0.0144,0.0
