edge_config,mode,node_type,cluster_id,n_sources,cluster_size,nodes_with_sources,source_coverage_pct
EDGE,single_risk,risk,36,24,24,24,100.0
EDGE,single_risk,risk,37,7,9,9,100.0
EDGE,single_risk,risk,5,4,4,4,100.0
EDGE,single_risk,risk,38,1,1,1,100.0
EDGE,monotonic,risk,37,36,39,39,100.0
EDGE,monotonic,risk,0,40,47,47,100.0
EDGE,monotonic,risk,21,93,99,99,100.0
EDGE,monotonic,risk,2,188,198,198,100.0
EDGE,monotonic,risk,14,48,52,52,100.0
EDGE,monotonic,risk,4,90,92,92,100.0
EDGE,monotonic,risk,31,59,60,60,100.0
EDGE,monotonic,risk,11,86,90,90,100.0
EDGE,monotonic,risk,29,28,34,34,100.0
EDGE,monotonic,risk,32,81,89,89,100.0
EDGE,monotonic,risk,16,36,37,37,100.0
EDGE,monotonic,risk,8,108,122,122,100.0
EDGE,monotonic,risk,20,25,29,29,100.0
EDGE,monotonic,risk,22,105,116,116,100.0
EDGE,monotonic,risk,36,75,83,83,100.0
EDGE,monotonic,risk,34,114,127,127,100.0
EDGE,monotonic,risk,1,94,101,101,100.0
EDGE,monotonic,risk,30,87,103,103,100.0
EDGE,monotonic,risk,35,20,22,22,100.0
EDGE,monotonic,risk,6,72,89,89,100.0
EDGE,monotonic,risk,15,72,81,81,100.0
EDGE,monotonic,risk,24,29,30,30,100.0
EDGE,monotonic,risk,25,89,94,94,100.0
EDGE,monotonic,risk,10,60,63,63,100.0
EDGE,monotonic,risk,26,9,12,12,100.0
EDGE,monotonic,risk,9,27,29,29,100.0
EDGE,monotonic,risk,33,42,44,44,100.0
EDGE,monotonic,risk,13,76,76,76,100.0
EDGE,monotonic,risk,17,50,53,53,100.0
EDGE,monotonic,risk,5,71,76,76,100.0
EDGE,monotonic,risk,18,8,10,10,100.0
EDGE,monotonic,risk,12,22,23,23,100.0
EDGE,monotonic,risk,3,148,168,168,100.0
EDGE,monotonic,risk,28,27,27,27,100.0
EDGE,monotonic,risk,19,17,17,17,100.0
EDGE,monotonic,risk,38,38,43,43,100.0
EDGE,monotonic,risk,23,27,27,27,100.0
EDGE,monotonic,risk,27,19,21,21,100.0
EDGE,monotonic,risk,39,7,7,7,100.0
EDGE,monotonic,risk,7,2,2,2,100.0
EDGE,both,risk,24,54,60,60,100.0
EDGE,both,risk,17,31,32,32,100.0
EDGE,both,risk,10,89,99,99,100.0
EDGE,both,risk,0,193,202,202,100.0
EDGE,both,risk,1,35,35,35,100.0
EDGE,both,risk,27,57,60,60,100.0
EDGE,both,risk,29,39,40,40,100.0
EDGE,both,risk,19,84,86,86,100.0
EDGE,both,risk,22,114,125,125,100.0
EDGE,both,risk,13,81,89,89,100.0
EDGE,both,risk,6,39,40,40,100.0
EDGE,both,risk,15,81,88,88,100.0
EDGE,both,risk,12,57,70,70,100.0
EDGE,both,risk,18,70,79,79,100.0
EDGE,both,risk,2,184,207,207,100.0
EDGE,both,risk,7,94,99,99,100.0
EDGE,both,risk,5,47,50,50,100.0
EDGE,both,risk,11,90,107,107,100.0
EDGE,both,risk,20,21,23,23,100.0
EDGE,both,risk,36,55,59,59,100.0
EDGE,both,risk,37,43,49,49,100.0
EDGE,both,risk,9,34,37,37,100.0
EDGE,both,risk,30,83,87,87,100.0
EDGE,both,risk,28,24,30,30,100.0
EDGE,both,risk,25,57,59,59,100.0
EDGE,both,risk,26,41,45,45,100.0
EDGE,both,risk,39,31,32,32,100.0
EDGE,both,risk,23,36,36,36,100.0
EDGE,both,risk,35,59,59,59,100.0
EDGE,both,risk,14,47,50,50,100.0
EDGE,both,risk,33,15,15,15,100.0
EDGE,both,risk,4,63,65,65,100.0
EDGE,both,risk,3,144,163,163,100.0
EDGE,both,risk,31,2,4,4,100.0
EDGE,both,risk,32,28,29,29,100.0
EDGE,both,risk,21,25,25,25,100.0
EDGE,both,risk,34,4,4,4,100.0
EDGE,both,risk,8,17,19,19,100.0
EDGE,both,risk,16,6,8,8,100.0
EDGE,both,risk,38,2,2,2,100.0
0.8,unconstrained,risk,10,528,544,544,100.0
0.8,unconstrained,risk,29,195,215,215,100.0
0.8,unconstrained,risk,21,435,568,568,100.0
0.8,unconstrained,risk,3,338,356,356,100.0
0.8,unconstrained,risk,7,233,242,242,100.0
0.8,unconstrained,risk,1,303,322,322,100.0
0.8,unconstrained,risk,17,358,385,385,100.0
0.8,unconstrained,risk,13,630,640,640,100.0
0.8,unconstrained,risk,8,277,319,319,100.0
0.8,unconstrained,risk,32,207,226,226,100.0
0.8,unconstrained,risk,4,374,383,383,100.0
0.8,unconstrained,risk,5,128,137,137,100.0
0.8,unconstrained,risk,15,500,551,551,100.0
0.8,unconstrained,risk,22,186,196,196,100.0
0.8,unconstrained,risk,24,58,60,60,100.0
0.8,unconstrained,risk,38,54,55,55,100.0
0.8,unconstrained,risk,16,290,292,292,100.0
0.8,unconstrained,risk,23,80,80,80,100.0
0.8,unconstrained,risk,9,385,451,451,100.0
0.8,unconstrained,risk,14,347,362,362,100.0
0.8,unconstrained,risk,30,512,519,519,100.0
0.8,unconstrained,risk,2,330,350,350,100.0
0.8,unconstrained,risk,12,259,263,263,100.0
0.8,unconstrained,risk,0,295,296,296,100.0
0.8,unconstrained,risk,37,12,14,14,100.0
0.8,unconstrained,risk,6,213,238,238,100.0
0.8,unconstrained,risk,11,227,258,258,100.0
0.8,unconstrained,risk,33,205,207,207,100.0
0.8,unconstrained,risk,35,82,85,85,100.0
0.8,unconstrained,risk,36,76,87,87,100.0
0.8,unconstrained,risk,31,92,93,93,100.0
0.8,unconstrained,risk,25,20,20,20,100.0
0.8,unconstrained,risk,27,57,60,60,100.0
0.8,unconstrained,risk,26,183,196,196,100.0
0.8,unconstrained,risk,18,84,88,88,100.0
0.8,unconstrained,risk,28,42,45,45,100.0
0.8,unconstrained,risk,34,60,61,61,100.0
0.8,unconstrained,risk,19,45,60,60,100.0
0.8,unconstrained,risk,20,15,15,15,100.0
0.8,unconstrained,risk,39,14,14,14,100.0
0.8,single_risk,risk,16,58,61,61,100.0
0.8,single_risk,risk,8,65,69,69,100.0
0.8,single_risk,risk,34,166,188,188,100.0
0.8,single_risk,risk,13,106,106,106,100.0
0.8,single_risk,risk,9,166,172,172,100.0
0.8,single_risk,risk,23,169,176,176,100.0
0.8,single_risk,risk,4,245,310,310,100.0
0.8,single_risk,risk,37,107,113,113,100.0
0.8,single_risk,risk,30,238,242,242,100.0
0.8,single_risk,risk,36,119,125,125,100.0
0.8,single_risk,risk,11,104,122,122,100.0
0.8,single_risk,risk,26,55,73,73,100.0
0.8,single_risk,risk,10,208,243,243,100.0
0.8,single_risk,risk,12,224,252,252,100.0
0.8,single_risk,risk,39,110,117,117,100.0
0.8,single_risk,risk,32,31,35,35,100.0
0.8,single_risk,risk,29,52,60,60,100.0
0.8,single_risk,risk,6,128,131,131,100.0
0.8,single_risk,risk,21,113,125,125,100.0
0.8,single_risk,risk,17,51,54,54,100.0
0.8,single_risk,risk,38,47,47,47,100.0
0.8,single_risk,risk,24,64,77,77,100.0
0.8,single_risk,risk,1,166,192,192,100.0
0.8,single_risk,risk,7,44,45,45,100.0
0.8,single_risk,risk,14,115,123,123,100.0
0.8,single_risk,risk,20,74,81,81,100.0
0.8,single_risk,risk,18,93,96,96,100.0
0.8,single_risk,risk,35,145,147,147,100.0
0.8,single_risk,risk,0,191,206,206,100.0
0.8,single_risk,risk,5,25,25,25,100.0
0.8,single_risk,risk,33,28,28,28,100.0
0.8,single_risk,risk,19,68,72,72,100.0
0.8,single_risk,risk,27,27,30,30,100.0
0.8,single_risk,risk,31,10,10,10,100.0
0.8,single_risk,risk,3,49,49,49,100.0
0.8,single_risk,risk,2,167,182,182,100.0
0.8,single_risk,risk,15,20,20,20,100.0
0.8,single_risk,risk,28,22,22,22,100.0
0.8,single_risk,risk,22,21,22,22,100.0
0.8,single_risk,risk,25,5,6,6,100.0
0.8,monotonic,risk,30,504,519,519,100.0
0.8,monotonic,risk,20,180,198,198,100.0
0.8,monotonic,risk,34,13,14,14,100.0
0.8,monotonic,risk,5,287,296,296,100.0
0.8,monotonic,risk,19,93,93,93,100.0
0.8,monotonic,risk,12,398,516,516,100.0
0.8,monotonic,risk,25,177,180,180,100.0
0.8,monotonic,risk,1,363,384,384,100.0
0.8,monotonic,risk,14,616,623,623,100.0
0.8,monotonic,risk,2,295,345,345,100.0
0.8,monotonic,risk,10,186,202,202,100.0
0.8,monotonic,risk,3,357,363,363,100.0
0.8,monotonic,risk,8,110,115,115,100.0
0.8,monotonic,risk,7,476,527,527,100.0
0.8,monotonic,risk,35,140,163,163,100.0
0.8,monotonic,risk,23,74,74,74,100.0
0.8,monotonic,risk,32,135,135,135,100.0
0.8,monotonic,risk,9,271,281,281,100.0
0.8,monotonic,risk,39,72,72,72,100.0
0.8,monotonic,risk,13,247,249,249,100.0
0.8,monotonic,risk,16,368,425,425,100.0
0.8,monotonic,risk,36,116,123,123,100.0
0.8,monotonic,risk,0,302,313,313,100.0
0.8,monotonic,risk,21,61,64,64,100.0
0.8,monotonic,risk,6,321,341,341,100.0
0.8,monotonic,risk,11,131,132,132,100.0
0.8,monotonic,risk,37,12,13,13,100.0
0.8,monotonic,risk,17,181,192,192,100.0
0.8,monotonic,risk,4,231,259,259,100.0
0.8,monotonic,risk,33,265,266,266,100.0
0.8,monotonic,risk,22,470,476,476,100.0
0.8,monotonic,risk,28,80,81,81,100.0
0.8,monotonic,risk,27,78,81,81,100.0
0.8,monotonic,risk,31,179,181,181,100.0
0.8,monotonic,risk,29,25,25,25,100.0
0.8,monotonic,risk,38,54,57,57,100.0
0.8,monotonic,risk,26,183,194,194,100.0
0.8,monotonic,risk,24,76,80,80,100.0
0.8,monotonic,risk,15,41,51,51,100.0
0.8,monotonic,risk,18,31,31,31,100.0
0.8,both,risk,37,61,63,63,100.0
0.8,both,risk,6,66,70,70,100.0
0.8,both,risk,7,147,163,163,100.0
0.8,both,risk,25,100,100,100,100.0
0.8,both,risk,22,128,131,131,100.0
0.8,both,risk,23,156,164,164,100.0
0.8,both,risk,1,243,303,303,100.0
0.8,both,risk,36,114,120,120,100.0
0.8,both,risk,17,64,67,67,100.0
0.8,both,risk,21,239,253,253,100.0
0.8,both,risk,18,98,102,102,100.0
0.8,both,risk,4,108,120,120,100.0
0.8,both,risk,26,54,72,72,100.0
0.8,both,risk,0,214,258,258,100.0
0.8,both,risk,5,236,266,266,100.0
0.8,both,risk,10,149,160,160,100.0
0.8,both,risk,8,35,42,42,100.0
0.8,both,risk,28,44,51,51,100.0
0.8,both,risk,20,65,67,67,100.0
0.8,both,risk,29,86,87,87,100.0
0.8,both,risk,3,100,110,110,100.0
0.8,both,risk,32,41,41,41,100.0
0.8,both,risk,13,65,65,65,100.0
0.8,both,risk,2,168,193,193,100.0
0.8,both,risk,16,110,113,113,100.0
0.8,both,risk,14,140,142,142,100.0
0.8,both,risk,12,79,85,85,100.0
0.8,both,risk,34,76,78,78,100.0
0.8,both,risk,15,85,90,90,100.0
0.8,both,risk,11,70,71,71,100.0
0.8,both,risk,19,42,43,43,100.0
0.8,both,risk,24,102,113,113,100.0
0.8,both,risk,27,51,61,61,100.0
0.8,both,risk,33,28,28,28,100.0
0.8,both,risk,9,63,67,67,100.0
0.8,both,risk,38,77,83,83,100.0
0.8,both,risk,31,32,34,34,100.0
0.8,both,risk,39,15,15,15,100.0
0.8,both,risk,35,17,18,18,100.0
0.8,both,risk,30,6,6,6,100.0
0.85,unconstrained,risk,9,425,438,438,100.0
0.85,unconstrained,risk,16,158,175,175,100.0
0.85,unconstrained,risk,12,186,197,197,100.0
0.85,unconstrained,risk,6,184,217,217,100.0
0.85,unconstrained,risk,32,195,198,198,100.0
0.85,unconstrained,risk,4,336,450,450,100.0
0.85,unconstrained,risk,19,142,160,160,100.0
0.85,unconstrained,risk,8,283,299,299,100.0
0.85,unconstrained,risk,22,391,395,395,100.0
0.85,unconstrained,risk,2,400,420,420,100.0
0.85,unconstrained,risk,1,242,244,244,100.0
0.85,unconstrained,risk,0,298,302,302,100.0
0.85,unconstrained,risk,28,413,460,460,100.0
0.85,unconstrained,risk,7,143,160,160,100.0
0.85,unconstrained,risk,31,56,57,57,100.0
0.85,unconstrained,risk,20,70,71,71,100.0
0.85,unconstrained,risk,39,72,72,72,100.0
0.85,unconstrained,risk,5,202,214,214,100.0
0.85,unconstrained,risk,15,244,281,281,100.0
0.85,unconstrained,risk,21,94,99,99,100.0
0.85,unconstrained,risk,33,190,196,196,100.0
0.85,unconstrained,risk,3,338,410,410,100.0
0.85,unconstrained,risk,13,214,217,217,100.0
0.85,unconstrained,risk,10,150,152,152,100.0
0.85,unconstrained,risk,14,144,146,146,100.0
0.85,unconstrained,risk,34,46,46,46,100.0
0.85,unconstrained,risk,18,412,414,414,100.0
0.85,unconstrained,risk,26,331,331,331,100.0
0.85,unconstrained,risk,38,58,59,59,100.0
0.85,unconstrained,risk,37,198,200,200,100.0
0.85,unconstrained,risk,30,70,70,70,100.0
0.85,unconstrained,risk,29,79,81,81,100.0
0.85,unconstrained,risk,11,80,90,90,100.0
0.85,unconstrained,risk,17,46,49,49,100.0
0.85,unconstrained,risk,35,54,57,57,100.0
0.85,unconstrained,risk,24,49,55,55,100.0
0.85,unconstrained,risk,23,34,35,35,100.0
0.85,unconstrained,risk,25,31,32,32,100.0
0.85,unconstrained,risk,27,46,58,58,100.0
0.85,unconstrained,risk,36,1,1,1,100.0
0.85,single_risk,risk,11,123,138,138,100.0
0.85,single_risk,risk,2,100,107,107,100.0
0.85,single_risk,risk,28,95,102,102,100.0
0.85,single_risk,risk,20,99,100,100,100.0
0.85,single_risk,risk,17,99,103,103,100.0
0.85,single_risk,risk,14,143,152,152,100.0
0.85,single_risk,risk,12,159,214,214,100.0
0.85,single_risk,risk,25,85,90,90,100.0
0.85,single_risk,risk,6,203,213,213,100.0
0.85,single_risk,risk,36,14,14,14,100.0
0.85,single_risk,risk,0,135,145,145,100.0
0.85,single_risk,risk,29,84,91,91,100.0
0.85,single_risk,risk,23,47,60,60,100.0
0.85,single_risk,risk,19,185,213,213,100.0
0.85,single_risk,risk,13,188,206,206,100.0
0.85,single_risk,risk,16,84,85,85,100.0
0.85,single_risk,risk,8,134,147,147,100.0
0.85,single_risk,risk,39,22,26,26,100.0
0.85,single_risk,risk,3,44,53,53,100.0
0.85,single_risk,risk,35,64,65,65,100.0
0.85,single_risk,risk,9,54,62,62,100.0
0.85,single_risk,risk,18,39,41,41,100.0
0.85,single_risk,risk,10,79,82,82,100.0
0.85,single_risk,risk,7,99,102,102,100.0
0.85,single_risk,risk,32,59,61,61,100.0
0.85,single_risk,risk,34,124,124,124,100.0
0.85,single_risk,risk,22,56,60,60,100.0
0.85,single_risk,risk,24,177,204,204,100.0
0.85,single_risk,risk,26,97,97,97,100.0
0.85,single_risk,risk,1,51,56,56,100.0
0.85,single_risk,risk,31,24,24,24,100.0
0.85,single_risk,risk,5,77,78,78,100.0
0.85,single_risk,risk,27,36,37,37,100.0
0.85,single_risk,risk,21,83,86,86,100.0
0.85,single_risk,risk,15,19,20,20,100.0
0.85,single_risk,risk,30,8,9,9,100.0
0.85,single_risk,risk,4,31,31,31,100.0
0.85,single_risk,risk,37,22,22,22,100.0
0.85,single_risk,risk,33,12,14,14,100.0
0.85,single_risk,risk,38,21,24,24,100.0
0.85,monotonic,risk,3,406,410,410,100.0
0.85,monotonic,risk,18,159,172,172,100.0
0.85,monotonic,risk,5,138,152,152,100.0
0.85,monotonic,risk,7,154,168,168,100.0
0.85,monotonic,risk,12,163,169,169,100.0
0.85,monotonic,risk,21,219,294,294,100.0
0.85,monotonic,risk,26,290,332,332,100.0
0.85,monotonic,risk,6,274,292,292,100.0
0.85,monotonic,risk,25,383,385,385,100.0
0.85,monotonic,risk,38,111,114,114,100.0
0.85,monotonic,risk,1,244,247,247,100.0
0.85,monotonic,risk,2,268,271,271,100.0
0.85,monotonic,risk,13,301,324,324,100.0
0.85,monotonic,risk,0,243,261,261,100.0
0.85,monotonic,risk,14,169,173,173,100.0
0.85,monotonic,risk,8,199,200,200,100.0
0.85,monotonic,risk,35,61,61,61,100.0
0.85,monotonic,risk,29,38,38,38,100.0
0.85,monotonic,risk,39,60,60,60,100.0
0.85,monotonic,risk,15,175,181,181,100.0
0.85,monotonic,risk,4,329,392,392,100.0
0.85,monotonic,risk,27,85,92,92,100.0
0.85,monotonic,risk,17,215,225,225,100.0
0.85,monotonic,risk,30,135,139,139,100.0
0.85,monotonic,risk,11,110,127,127,100.0
0.85,monotonic,risk,36,75,81,81,100.0
0.85,monotonic,risk,24,103,105,105,100.0
0.85,monotonic,risk,10,367,370,370,100.0
0.85,monotonic,risk,19,68,68,68,100.0
0.85,monotonic,risk,9,300,300,300,100.0
0.85,monotonic,risk,16,77,78,78,100.0
0.85,monotonic,risk,31,182,183,183,100.0
0.85,monotonic,risk,32,79,83,83,100.0
0.85,monotonic,risk,33,54,57,57,100.0
0.85,monotonic,risk,28,48,51,51,100.0
0.85,monotonic,risk,37,138,140,140,100.0
0.85,monotonic,risk,23,19,20,20,100.0
0.85,monotonic,risk,20,22,23,23,100.0
0.85,monotonic,risk,22,14,18,18,100.0
0.85,monotonic,risk,34,32,41,41,100.0
0.85,both,risk,16,76,82,82,100.0
0.85,both,risk,7,85,90,90,100.0
0.85,both,risk,4,113,126,126,100.0
0.85,both,risk,20,111,113,113,100.0
0.85,both,risk,13,94,99,99,100.0
0.85,both,risk,15,139,147,147,100.0
0.85,both,risk,33,58,71,71,100.0
0.85,both,risk,25,88,92,92,100.0
0.85,both,risk,9,298,302,302,100.0
0.85,both,risk,2,117,125,125,100.0
0.85,both,risk,37,81,88,88,100.0
0.85,both,risk,31,180,207,207,100.0
0.85,both,risk,5,213,234,234,100.0
0.85,both,risk,8,92,96,96,100.0
0.85,both,risk,21,129,139,139,100.0
0.85,both,risk,12,137,161,161,100.0
0.85,both,risk,0,44,56,56,100.0
0.85,both,risk,3,90,91,91,100.0
0.85,both,risk,38,78,86,86,100.0
0.85,both,risk,11,32,35,35,100.0
0.85,both,risk,17,23,30,30,100.0
0.85,both,risk,26,41,44,44,100.0
0.85,both,risk,23,76,80,80,100.0
0.85,both,risk,18,49,54,54,100.0
0.85,both,risk,24,85,95,95,100.0
0.85,both,risk,28,56,56,56,100.0
0.85,both,risk,1,173,200,200,100.0
0.85,both,risk,14,87,87,87,100.0
0.85,both,risk,6,129,135,135,100.0
0.85,both,risk,39,23,23,23,100.0
0.85,both,risk,10,83,86,86,100.0
0.85,both,risk,32,7,8,8,100.0
0.85,both,risk,35,33,34,34,100.0
0.85,both,risk,19,5,6,6,100.0
0.85,both,risk,34,4,4,4,100.0
0.85,both,risk,30,10,11,11,100.0
0.85,both,risk,36,16,16,16,100.0
0.85,both,risk,22,7,7,7,100.0
0.85,both,risk,27,7,7,7,100.0
0.85,both,risk,29,2,3,3,100.0
0.9,unconstrained,risk,14,147,158,158,100.0
0.9,unconstrained,risk,6,196,214,214,100.0
0.9,unconstrained,risk,19,134,136,136,100.0
0.9,unconstrained,risk,21,178,179,179,100.0
0.9,unconstrained,risk,35,166,168,168,100.0
0.9,unconstrained,risk,12,102,102,102,100.0
0.9,unconstrained,risk,15,115,121,121,100.0
0.9,unconstrained,risk,0,251,299,299,100.0
0.9,unconstrained,risk,17,105,116,116,100.0
0.9,unconstrained,risk,24,46,48,48,100.0
0.9,unconstrained,risk,10,362,367,367,100.0
0.9,unconstrained,risk,20,97,105,105,100.0
0.9,unconstrained,risk,5,136,155,155,100.0
0.9,unconstrained,risk,9,209,219,219,100.0
0.9,unconstrained,risk,16,245,269,269,100.0
0.9,unconstrained,risk,4,260,341,341,100.0
0.9,unconstrained,risk,1,107,114,114,100.0
0.9,unconstrained,risk,2,105,112,112,100.0
0.9,unconstrained,risk,8,114,126,126,100.0
0.9,unconstrained,risk,33,48,49,49,100.0
0.9,unconstrained,risk,25,222,223,223,100.0
0.9,unconstrained,risk,7,142,142,142,100.0
0.9,unconstrained,risk,38,102,102,102,100.0
0.9,unconstrained,risk,26,234,235,235,100.0
0.9,unconstrained,risk,11,122,126,126,100.0
0.9,unconstrained,risk,34,37,37,37,100.0
0.9,unconstrained,risk,22,192,221,221,100.0
0.9,unconstrained,risk,31,56,59,59,100.0
0.9,unconstrained,risk,37,32,33,33,100.0
0.9,unconstrained,risk,27,44,44,44,100.0
0.9,unconstrained,risk,3,49,50,50,100.0
0.9,unconstrained,risk,18,60,60,60,100.0
0.9,unconstrained,risk,28,45,45,45,100.0
0.9,unconstrained,risk,32,23,23,23,100.0
0.9,unconstrained,risk,39,10,10,10,100.0
0.9,unconstrained,risk,29,15,15,15,100.0
0.9,unconstrained,risk,30,28,39,39,100.0
0.9,unconstrained,risk,23,19,20,20,100.0
0.9,unconstrained,risk,36,2,3,3,100.0
0.9,unconstrained,risk,13,2,4,4,100.0
0.9,single_risk,risk,24,74,81,81,100.0
0.9,single_risk,risk,6,82,88,88,100.0
0.9,single_risk,risk,7,65,72,72,100.0
0.9,single_risk,risk,35,91,93,93,100.0
0.9,single_risk,risk,15,78,84,84,100.0
0.9,single_risk,risk,22,134,148,148,100.0
0.9,single_risk,risk,8,170,178,178,100.0
0.9,single_risk,risk,19,85,93,93,100.0
0.9,single_risk,risk,23,35,35,35,100.0
0.9,single_risk,risk,38,62,63,63,100.0
0.9,single_risk,risk,27,50,62,62,100.0
0.9,single_risk,risk,16,58,63,63,100.0
0.9,single_risk,risk,2,176,196,196,100.0
0.9,single_risk,risk,0,103,109,109,100.0
0.9,single_risk,risk,11,97,106,106,100.0
0.9,single_risk,risk,29,85,87,87,100.0
0.9,single_risk,risk,30,29,29,29,100.0
0.9,single_risk,risk,3,140,167,167,100.0
0.9,single_risk,risk,25,24,30,30,100.0
0.9,single_risk,risk,33,18,20,20,100.0
0.9,single_risk,risk,1,128,132,132,100.0
0.9,single_risk,risk,28,73,83,83,100.0
0.9,single_risk,risk,14,31,33,33,100.0
0.9,single_risk,risk,26,85,89,89,100.0
0.9,single_risk,risk,18,39,41,41,100.0
0.9,single_risk,risk,9,55,56,56,100.0
0.9,single_risk,risk,10,6,9,9,100.0
0.9,single_risk,risk,37,81,81,81,100.0
0.9,single_risk,risk,20,43,48,48,100.0
0.9,single_risk,risk,4,76,81,81,100.0
0.9,single_risk,risk,12,154,178,178,100.0
0.9,single_risk,risk,5,66,69,69,100.0
0.9,single_risk,risk,21,27,27,27,100.0
0.9,single_risk,risk,31,27,27,27,100.0
0.9,single_risk,risk,34,12,12,12,100.0
0.9,single_risk,risk,32,2,2,2,100.0
0.9,single_risk,risk,13,17,18,18,100.0
0.9,single_risk,risk,17,19,19,19,100.0
0.9,single_risk,risk,36,3,4,4,100.0
0.9,single_risk,risk,39,1,1,1,100.0
0.9,monotonic,risk,11,131,142,142,100.0
0.9,monotonic,risk,18,92,98,98,100.0
0.9,monotonic,risk,4,112,120,120,100.0
0.9,monotonic,risk,12,116,119,119,100.0
0.9,monotonic,risk,2,196,196,196,100.0
0.9,monotonic,risk,16,182,182,182,100.0
0.9,monotonic,risk,20,100,100,100,100.0
0.9,monotonic,risk,15,109,115,115,100.0
0.9,monotonic,risk,9,215,255,255,100.0
0.9,monotonic,risk,27,99,104,104,100.0
0.9,monotonic,risk,23,165,175,175,100.0
0.9,monotonic,risk,8,344,345,345,100.0
0.9,monotonic,risk,19,82,87,87,100.0
0.9,monotonic,risk,1,99,118,118,100.0
0.9,monotonic,risk,29,47,49,49,100.0
0.9,monotonic,risk,5,186,195,195,100.0
0.9,monotonic,risk,6,245,268,268,100.0
0.9,monotonic,risk,14,151,199,199,100.0
0.9,monotonic,risk,10,27,29,29,100.0
0.9,monotonic,risk,30,68,74,74,100.0
0.9,monotonic,risk,36,55,62,62,100.0
