edge_config,mode,node_type,cluster_id,n_sources,cluster_size,nodes_with_sources
EDGE,unconstrained,theoretical_insight,13,0,89,0
EDGE,unconstrained,theoretical_insight,31,0,8,0
EDGE,unconstrained,theoretical_insight,25,0,25,0
EDGE,unconstrained,theoretical_insight,38,0,2,0
EDGE,unconstrained,theoretical_insight,10,0,60,0
EDGE,unconstrained,theoretical_insight,20,0,49,0
EDGE,unconstrained,theoretical_insight,30,0,18,0
EDGE,unconstrained,theoretical_insight,5,0,27,0
EDGE,unconstrained,theoretical_insight,26,0,7,0
EDGE,unconstrained,theoretical_insight,29,0,12,0
EDGE,unconstrained,theoretical_insight,19,0,7,0
EDGE,unconstrained,theoretical_insight,8,0,12,0
EDGE,unconstrained,design_rationale,1,0,73,0
EDGE,unconstrained,design_rationale,20,0,62,0
EDGE,unconstrained,design_rationale,12,0,71,0
EDGE,unconstrained,design_rationale,6,0,82,0
EDGE,unconstrained,design_rationale,23,0,50,0
EDGE,unconstrained,design_rationale,14,0,174,0
EDGE,unconstrained,design_rationale,7,0,135,0
EDGE,unconstrained,design_rationale,26,0,11,0
EDGE,unconstrained,design_rationale,15,0,80,0
EDGE,unconstrained,design_rationale,25,0,215,0
EDGE,unconstrained,design_rationale,34,0,60,0
EDGE,unconstrained,design_rationale,18,0,32,0
EDGE,unconstrained,design_rationale,27,0,32,0
EDGE,unconstrained,design_rationale,32,0,54,0
EDGE,unconstrained,design_rationale,5,0,72,0
EDGE,unconstrained,design_rationale,2,0,106,0
EDGE,unconstrained,design_rationale,9,0,23,0
EDGE,unconstrained,design_rationale,13,0,103,0
EDGE,unconstrained,design_rationale,16,0,68,0
EDGE,unconstrained,design_rationale,3,0,108,0
EDGE,unconstrained,design_rationale,4,0,59,0
EDGE,unconstrained,design_rationale,19,0,68,0
EDGE,unconstrained,design_rationale,10,0,27,0
EDGE,unconstrained,design_rationale,21,0,37,0
EDGE,unconstrained,design_rationale,33,0,49,0
EDGE,unconstrained,design_rationale,8,0,43,0
EDGE,unconstrained,design_rationale,37,0,24,0
EDGE,unconstrained,design_rationale,24,0,84,0
EDGE,unconstrained,design_rationale,31,0,24,0
EDGE,unconstrained,design_rationale,0,0,41,0
EDGE,unconstrained,design_rationale,17,0,59,0
EDGE,unconstrained,design_rationale,11,0,38,0
EDGE,unconstrained,design_rationale,22,0,15,0
EDGE,unconstrained,design_rationale,35,0,11,0
EDGE,unconstrained,design_rationale,29,0,6,0
EDGE,unconstrained,design_rationale,36,0,8,0
EDGE,unconstrained,design_rationale,28,0,14,0
EDGE,unconstrained,design_rationale,39,0,32,0
EDGE,unconstrained,design_rationale,30,0,7,0
EDGE,unconstrained,design_rationale,38,0,7,0
EDGE,unconstrained,implementation_mechanism,6,0,88,0
EDGE,unconstrained,implementation_mechanism,15,0,51,0
EDGE,unconstrained,implementation_mechanism,20,0,64,0
EDGE,unconstrained,implementation_mechanism,18,0,126,0
EDGE,unconstrained,implementation_mechanism,14,0,134,0
EDGE,unconstrained,implementation_mechanism,1,0,113,0
EDGE,unconstrained,implementation_mechanism,10,0,196,0
EDGE,unconstrained,implementation_mechanism,17,0,51,0
EDGE,unconstrained,implementation_mechanism,35,0,95,0
EDGE,unconstrained,implementation_mechanism,32,0,42,0
EDGE,unconstrained,implementation_mechanism,12,0,33,0
EDGE,unconstrained,implementation_mechanism,0,0,133,0
EDGE,unconstrained,implementation_mechanism,11,0,63,0
EDGE,unconstrained,implementation_mechanism,37,0,7,0
EDGE,unconstrained,implementation_mechanism,30,0,100,0
EDGE,unconstrained,implementation_mechanism,28,0,49,0
EDGE,unconstrained,implementation_mechanism,5,0,94,0
EDGE,unconstrained,implementation_mechanism,8,0,107,0
EDGE,unconstrained,implementation_mechanism,9,0,97,0
EDGE,unconstrained,implementation_mechanism,13,0,93,0
EDGE,unconstrained,implementation_mechanism,25,0,99,0
EDGE,unconstrained,implementation_mechanism,22,0,80,0
EDGE,unconstrained,implementation_mechanism,24,0,30,0
EDGE,unconstrained,implementation_mechanism,38,0,10,0
EDGE,unconstrained,implementation_mechanism,21,0,39,0
EDGE,unconstrained,implementation_mechanism,7,0,26,0
EDGE,unconstrained,implementation_mechanism,2,0,63,0
EDGE,unconstrained,implementation_mechanism,26,0,29,0
EDGE,unconstrained,implementation_mechanism,16,0,25,0
EDGE,unconstrained,implementation_mechanism,34,0,10,0
EDGE,unconstrained,implementation_mechanism,36,0,13,0
EDGE,unconstrained,implementation_mechanism,19,0,32,0
EDGE,unconstrained,implementation_mechanism,33,0,23,0
EDGE,unconstrained,implementation_mechanism,3,0,24,0
EDGE,unconstrained,implementation_mechanism,23,0,29,0
EDGE,unconstrained,implementation_mechanism,29,0,16,0
EDGE,unconstrained,implementation_mechanism,31,0,32,0
EDGE,unconstrained,implementation_mechanism,27,0,29,0
EDGE,unconstrained,implementation_mechanism,4,0,39,0
EDGE,unconstrained,implementation_mechanism,39,0,3,0
EDGE,unconstrained,validation_evidence,7,0,77,0
EDGE,unconstrained,validation_evidence,20,0,17,0
EDGE,unconstrained,validation_evidence,15,0,26,0
EDGE,unconstrained,validation_evidence,37,0,25,0
EDGE,unconstrained,validation_evidence,1,0,146,0
EDGE,unconstrained,validation_evidence,2,0,114,0
EDGE,unconstrained,validation_evidence,13,0,90,0
EDGE,unconstrained,validation_evidence,0,0,108,0
EDGE,unconstrained,validation_evidence,6,0,70,0
EDGE,unconstrained,validation_evidence,24,0,114,0
EDGE,unconstrained,validation_evidence,29,0,10,0
EDGE,unconstrained,validation_evidence,33,0,109,0
EDGE,unconstrained,validation_evidence,25,0,71,0
EDGE,unconstrained,validation_evidence,4,0,82,0
EDGE,unconstrained,validation_evidence,9,0,116,0
EDGE,unconstrained,validation_evidence,21,0,29,0
EDGE,unconstrained,validation_evidence,23,0,32,0
EDGE,unconstrained,validation_evidence,12,0,80,0
EDGE,unconstrained,validation_evidence,17,0,95,0
EDGE,unconstrained,validation_evidence,26,0,52,0
EDGE,unconstrained,validation_evidence,16,0,85,0
EDGE,unconstrained,validation_evidence,18,0,101,0
EDGE,unconstrained,validation_evidence,38,0,45,0
EDGE,unconstrained,validation_evidence,22,0,63,0
EDGE,unconstrained,validation_evidence,14,0,44,0
EDGE,unconstrained,validation_evidence,27,0,66,0
EDGE,unconstrained,validation_evidence,34,0,35,0
EDGE,unconstrained,validation_evidence,3,0,78,0
