node_type,mode,threshold_1,threshold_2,ari,n_common_nodes,distance
theoretical_insight,monotonic,EDGE,0.85,0.49622798655691125,2175,2
theoretical_insight,monotonic,EDGE,0.9,0.5883619992486089,2190,3
theoretical_insight,monotonic,EDGE,0.95,0.7258813952505854,2193,4
theoretical_insight,monotonic,0.8,0.85,0.5227745012071701,2755,1
theoretical_insight,monotonic,0.8,0.9,0.4483651520782445,2271,2
theoretical_insight,monotonic,0.8,0.95,0.4660505362255696,2153,3
theoretical_insight,monotonic,0.85,0.9,0.5633278740766504,2310,1
theoretical_insight,monotonic,0.85,0.95,0.48988798896789143,2177,2
theoretical_insight,monotonic,0.9,0.95,0.5796753046997405,2194,1
theoretical_insight,both,EDGE,0.8,0.4618753154131082,2148,1
theoretical_insight,both,EDGE,0.85,0.502680342712259,2175,2
theoretical_insight,both,EDGE,0.9,0.6191044425247608,2190,3
theoretical_insight,both,EDGE,0.95,0.6686260946789089,2193,4
theoretical_insight,both,0.8,0.85,0.6285429636739597,2657,1
theoretical_insight,both,0.8,0.9,0.4757628740706079,2248,2
theoretical_insight,both,0.8,0.95,0.4610396731135231,2151,3
theoretical_insight,both,0.85,0.9,0.5498796896550524,2286,1
theoretical_insight,both,0.85,0.95,0.507647788610696,2177,2
theoretical_insight,both,0.9,0.95,0.6654786937753562,2193,1
design_rationale,unconstrained,EDGE,0.8,0.4369400560519508,2199,1
design_rationale,unconstrained,EDGE,0.85,0.477821447711492,2241,2
design_rationale,unconstrained,EDGE,0.9,0.6080629525482015,2258,3
design_rationale,unconstrained,EDGE,0.95,0.6794454576619869,2263,4
design_rationale,unconstrained,0.8,0.85,0.5928748673116283,3055,1
design_rationale,unconstrained,0.8,0.9,0.5094969729152643,2353,2
design_rationale,unconstrained,0.8,0.95,0.39781054196069693,2207,3
design_rationale,unconstrained,0.85,0.9,0.5860522740588964,2425,1
design_rationale,unconstrained,0.85,0.95,0.4795257018849932,2249,2
design_rationale,unconstrained,0.9,0.95,0.6019352319673875,2267,1
design_rationale,single_risk,EDGE,0.8,0.4139729111001383,2196,1
design_rationale,single_risk,EDGE,0.85,0.47443894622401517,2241,2
design_rationale,single_risk,EDGE,0.9,0.6263079522931756,2258,3
design_rationale,single_risk,EDGE,0.95,0.6930317226487844,2261,4
design_rationale,single_risk,0.8,0.85,0.6280075626062718,2946,1
design_rationale,single_risk,0.8,0.9,0.47920062159071763,2310,2
design_rationale,single_risk,0.8,0.95,0.4410288372422243,2197,3
design_rationale,single_risk,0.85,0.9,0.5419039008138431,2375,1
design_rationale,single_risk,0.85,0.95,0.4990270037250731,2242,2
design_rationale,single_risk,0.9,0.95,0.6666013673101218,2260,1
design_rationale,monotonic,EDGE,0.8,0.39715494781878546,2140,1
design_rationale,monotonic,EDGE,0.85,0.4385287624348785,2193,2
design_rationale,monotonic,EDGE,0.9,0.5940081420889397,2214,3
design_rationale,monotonic,EDGE,0.95,0.7153191001283448,2216,4
design_rationale,monotonic,0.8,0.85,0.5615196648414158,2687,1
design_rationale,monotonic,0.8,0.9,0.4757159799957053,2237,2
design_rationale,monotonic,0.8,0.95,0.4525497099315945,2142,3
design_rationale,monotonic,0.85,0.9,0.5581363865360355,2311,1
design_rationale,monotonic,0.85,0.95,0.5109002105906723,2194,2
design_rationale,monotonic,0.9,0.95,0.6332620926818229,2217,1
design_rationale,both,EDGE,0.8,0.39264863412896583,2139,1
design_rationale,both,EDGE,0.85,0.5006408462937401,2193,2
design_rationale,both,EDGE,0.9,0.6454802257525835,2214,3
design_rationale,both,EDGE,0.95,0.7180646395175397,2216,4
design_rationale,both,0.8,0.85,0.541848206880753,2620,1
design_rationale,both,0.8,0.9,0.4681565955056611,2219,2
design_rationale,both,0.8,0.95,0.4186205963671362,2141,3
design_rationale,both,0.85,0.9,0.5370554212203253,2288,1
design_rationale,both,0.85,0.95,0.5188272496890179,2194,2
design_rationale,both,0.9,0.95,0.5839652077551342,2216,1
implementation_mechanism,unconstrained,EDGE,0.8,0.3800787467506557,2286,1
implementation_mechanism,unconstrained,EDGE,0.85,0.5175354790084709,2354,2
implementation_mechanism,unconstrained,EDGE,0.9,0.6270927375612446,2380,3
implementation_mechanism,unconstrained,EDGE,0.95,0.7487386660907988,2386,4
implementation_mechanism,unconstrained,0.8,0.85,0.5585728724668912,3106,1
implementation_mechanism,unconstrained,0.8,0.9,0.410495999917071,2429,2
implementation_mechanism,unconstrained,0.8,0.95,0.37234321014568966,2292,3
implementation_mechanism,unconstrained,0.85,0.9,0.5549774016325631,2543,1
implementation_mechanism,unconstrained,0.85,0.95,0.5152744680499105,2359,2
implementation_mechanism,unconstrained,0.9,0.95,0.6641662373732208,2386,1
implementation_mechanism,single_risk,EDGE,0.8,0.3157993790369851,2284,1
implementation_mechanism,single_risk,EDGE,0.85,0.45442523044606564,2354,2
implementation_mechanism,single_risk,EDGE,0.9,0.625763905990348,2380,3
implementation_mechanism,single_risk,EDGE,0.95,0.7159378756188842,2384,4
implementation_mechanism,single_risk,0.8,0.85,0.47654867611131446,3050,1
implementation_mechanism,single_risk,0.8,0.9,0.3801997752347381,2407,2
implementation_mechanism,single_risk,0.8,0.95,0.3518880775172607,2285,3
implementation_mechanism,single_risk,0.85,0.9,0.48283903141344664,2512,1
implementation_mechanism,single_risk,0.85,0.95,0.48140153093530397,2356,2
implementation_mechanism,single_risk,0.9,0.95,0.7324077683274839,2383,1
implementation_mechanism,monotonic,EDGE,0.8,0.4057999523847612,2220,1
implementation_mechanism,monotonic,EDGE,0.85,0.5704282090873178,2294,2
implementation_mechanism,monotonic,EDGE,0.9,0.7039698489769423,2326,3
implementation_mechanism,monotonic,EDGE,0.95,0.7051797945064971,2328,4
implementation_mechanism,monotonic,0.8,0.85,0.5590089675189588,2734,1
implementation_mechanism,monotonic,0.8,0.9,0.4337008548882588,2320,2
implementation_mechanism,monotonic,0.8,0.95,0.4221453865664352,2222,3
implementation_mechanism,monotonic,0.85,0.9,0.6197800900356122,2429,1
implementation_mechanism,monotonic,0.85,0.95,0.588434938001678,2296,2
implementation_mechanism,monotonic,0.9,0.95,0.7124961924925697,2330,1
implementation_mechanism,both,EDGE,0.8,0.4537465690441615,2217,1
