node_type,edge_config,mode,silhouette_mean,edge_validation_mean,n_clusters,path_length_mean
theoretical_insight,0.8,monotonic,0.4658544063568115,0.5135363926332119,44.0,9.737096052456952
theoretical_insight,0.8,both,0.4179163426160812,0.555374572923712,44.0,8.36536247763554
theoretical_insight,0.85,unconstrained,0.4327280819416046,0.5885613932131952,45.0,13.599068075657982
theoretical_insight,0.85,single_risk,0.4166427701711654,0.6594008435746607,40.0,11.21277298240649
theoretical_insight,0.85,monotonic,0.4303925037384033,0.6571677276857538,40.0,10.148250165198064
theoretical_insight,0.85,both,0.4287326782941818,0.7198638625940292,40.0,8.661824196767292
theoretical_insight,0.9,unconstrained,0.4051547646522522,0.8478471418416904,40.0,14.317058738183093
theoretical_insight,0.9,single_risk,0.3867331594228744,0.8986569713631294,40.0,9.061804871181192
theoretical_insight,0.9,monotonic,0.4122436791658401,0.8790865376140435,40.0,10.24367435107054
theoretical_insight,0.9,both,0.4291419684886932,0.9024780608233218,40.0,7.95841050681933
theoretical_insight,0.95,unconstrained,0.3742752075195312,0.9934799378727512,40.0,12.097357787791616
theoretical_insight,0.95,single_risk,0.3913126587867737,0.9992984122826052,40.0,6.793612533895752
theoretical_insight,0.95,monotonic,0.3679838329553604,0.9986238810979974,40.0,10.725478060440498
theoretical_insight,0.95,both,0.3885068595409393,0.999017431142952,40.0,6.745957711442786
design_rationale,EDGE,unconstrained,0.3605238795280456,1.0,40.0,6.861790958825223
design_rationale,EDGE,single_risk,0.3657724559307098,1.0,40.0,6.787356321839081
design_rationale,EDGE,monotonic,0.4008439183235168,1.0,40.0,6.788245986064829
design_rationale,EDGE,both,0.3978550136089325,1.0,40.0,6.739306899781455
design_rationale,0.8,unconstrained,0.4727051556110382,0.4936724536351974,43.0,12.03663892599518
design_rationale,0.8,single_risk,0.4719841778278351,0.5000393525965381,42.0,10.57770343067763
design_rationale,0.8,monotonic,0.4532527923583984,0.5340200383289672,41.0,9.737096052456952
design_rationale,0.8,both,0.3848444819450378,0.5575638350286397,40.0,8.36536247763554
design_rationale,0.85,unconstrained,0.4623227417469024,0.5952795847556298,40.0,13.599068075657982
design_rationale,0.85,single_risk,0.4439111351966858,0.6305505009951449,41.0,11.21277298240649
design_rationale,0.85,monotonic,0.4422543048858642,0.6827942551667266,40.0,10.148250165198064
design_rationale,0.85,both,0.4103128015995025,0.7269072298524885,40.0,8.661824196767292
design_rationale,0.9,unconstrained,0.4103822708129883,0.9026801998124908,40.0,14.317058738183093
design_rationale,0.9,single_risk,0.367958515882492,0.9287202511421928,40.0,9.061804871181192
design_rationale,0.9,monotonic,0.3970120698213577,0.920516694690054,40.0,10.24367435107054
design_rationale,0.9,both,0.3820559829473495,0.9562901417299652,40.0,7.95841050681933
design_rationale,0.95,unconstrained,0.3501714020967483,0.9966739495603136,40.0,12.097357787791616
design_rationale,0.95,single_risk,0.3631477504968643,0.999410594932983,40.0,6.793612533895752
design_rationale,0.95,monotonic,0.3581405878067016,0.9986753891667028,40.0,10.725478060440498
design_rationale,0.95,both,0.3660895079374313,0.998754456305042,40.0,6.745957711442786
implementation_mechanism,EDGE,unconstrained,0.4250656217336654,1.0,40.0,6.861790958825223
implementation_mechanism,EDGE,single_risk,0.3993549048900604,1.0,40.0,6.787356321839081
implementation_mechanism,EDGE,monotonic,0.4052297472953796,1.0,40.0,6.788245986064829
implementation_mechanism,EDGE,both,0.3955676853656769,1.0,40.0,6.739306899781455
implementation_mechanism,0.8,unconstrained,0.4748826324939728,0.4876210548694267,52.0,12.03663892599518
implementation_mechanism,0.8,single_risk,0.4983018934726715,0.4825218957437115,49.0,10.57770343067763
implementation_mechanism,0.8,monotonic,0.4882283210754394,0.5738311444937481,42.0,9.737096052456952
implementation_mechanism,0.8,both,0.4546392410993576,0.5944196877915872,44.0,8.36536247763554
implementation_mechanism,0.85,unconstrained,0.4870753884315491,0.639030534193118,40.0,13.599068075657982
implementation_mechanism,0.85,single_risk,0.4913368672132492,0.664567210097277,41.0,11.21277298240649
implementation_mechanism,0.85,monotonic,0.4753975868225097,0.7451616333263478,40.0,10.148250165198064
implementation_mechanism,0.85,both,0.4909674078226089,0.7527647585560822,40.0,8.661824196767292
implementation_mechanism,0.9,unconstrained,0.4500853568315506,0.902319918511188,40.0,14.317058738183093
