edge_config,mode,cluster_id,cluster_size,n_interventions,design_count,training_count,deployment_count,design_pct,training_pct,deployment_pct,dominant_stage
EDGE,both,14,51,51,41,2,8,0.803921568627451,0.0392156862745098,0.1568627450980392,Design
EDGE,both,15,60,60,40,17,3,0.6666666666666666,0.2833333333333333,0.05,Design
EDGE,both,36,103,103,12,87,4,0.11650485436893204,0.8446601941747572,0.038834951456310676,Training
EDGE,both,3,89,89,86,2,1,0.9662921348314607,0.02247191011235955,0.011235955056179775,Design
EDGE,both,33,61,61,3,5,53,0.04918032786885246,0.08196721311475409,0.8688524590163934,Deployment
EDGE,both,0,168,168,11,0,157,0.06547619047619048,0.0,0.9345238095238095,Deployment
EDGE,both,24,25,25,3,3,19,0.12,0.12,0.76,Deployment
EDGE,both,35,62,62,5,1,56,0.08064516129032258,0.016129032258064516,0.9032258064516129,Deployment
EDGE,both,1,100,100,18,20,62,0.18,0.2,0.62,Deployment
EDGE,both,11,141,141,7,0,134,0.04964539007092199,0.0,0.950354609929078,Deployment
EDGE,both,25,63,63,10,1,52,0.15873015873015872,0.015873015873015872,0.8253968253968254,Deployment
EDGE,both,26,71,71,6,3,62,0.08450704225352113,0.04225352112676056,0.8732394366197183,Deployment
EDGE,both,8,74,74,31,37,6,0.4189189189189189,0.5,0.08108108108108109,Training
EDGE,both,20,88,88,7,5,76,0.07954545454545454,0.056818181818181816,0.8636363636363636,Deployment
EDGE,both,18,46,46,1,1,44,0.021739130434782608,0.021739130434782608,0.9565217391304348,Deployment
EDGE,both,6,187,187,9,3,175,0.0481283422459893,0.016042780748663103,0.9358288770053476,Deployment
EDGE,both,38,22,22,18,3,1,0.8181818181818182,0.13636363636363635,0.045454545454545456,Design
EDGE,both,12,30,30,3,1,26,0.1,0.03333333333333333,0.8666666666666667,Deployment
EDGE,both,21,67,67,23,2,42,0.34328358208955223,0.029850746268656716,0.6268656716417911,Deployment
EDGE,both,7,47,47,31,11,5,0.6595744680851063,0.23404255319148937,0.10638297872340426,Design
EDGE,both,23,34,34,4,0,30,0.11764705882352941,0.0,0.8823529411764706,Deployment
EDGE,both,22,64,64,22,27,15,0.34375,0.421875,0.234375,Training
EDGE,both,30,34,34,2,10,22,0.058823529411764705,0.29411764705882354,0.6470588235294118,Deployment
EDGE,both,29,8,8,2,0,6,0.25,0.0,0.75,Deployment
EDGE,both,28,6,6,1,0,5,0.16666666666666666,0.0,0.8333333333333334,Deployment
EDGE,both,19,28,28,0,1,27,0.0,0.03571428571428571,0.9642857142857143,Deployment
EDGE,both,17,33,33,5,1,27,0.15151515151515152,0.030303030303030304,0.8181818181818182,Deployment
EDGE,both,16,22,22,7,14,1,0.3181818181818182,0.6363636363636364,0.045454545454545456,Training
EDGE,both,4,42,42,5,36,1,0.11904761904761904,0.8571428571428571,0.023809523809523808,Training
EDGE,both,34,20,20,2,17,1,0.1,0.85,0.05,Training
EDGE,both,39,8,8,4,4,0,0.5,0.5,0.0,Design
EDGE,both,31,1,1,0,0,1,0.0,0.0,1.0,Deployment
EDGE,both,32,6,6,0,5,1,0.0,0.8333333333333334,0.16666666666666666,Training
EDGE,both,27,5,5,0,2,3,0.0,0.4,0.6,Deployment
0.8,unconstrained,18,398,398,34,354,10,0.08542713567839195,0.8894472361809045,0.02512562814070352,Training
0.8,unconstrained,0,385,385,103,242,40,0.2675324675324675,0.6285714285714286,0.1038961038961039,Training
0.8,unconstrained,6,88,88,5,81,2,0.056818181818181816,0.9204545454545454,0.022727272727272728,Training
0.8,unconstrained,8,65,65,52,5,8,0.8,0.07692307692307693,0.12307692307692308,Design
0.8,unconstrained,35,39,39,0,37,2,0.0,0.9487179487179487,0.05128205128205128,Training
0.8,unconstrained,15,338,338,8,3,327,0.023668639053254437,0.008875739644970414,0.9674556213017751,Deployment
0.8,unconstrained,16,308,308,33,34,241,0.10714285714285714,0.11038961038961038,0.7824675324675324,Deployment
0.8,unconstrained,39,91,91,22,0,69,0.24175824175824176,0.0,0.7582417582417582,Deployment
0.8,unconstrained,29,355,355,74,4,277,0.2084507042253521,0.011267605633802818,0.780281690140845,Deployment
0.8,unconstrained,33,78,78,18,1,59,0.23076923076923078,0.01282051282051282,0.7564102564102564,Deployment
0.8,unconstrained,4,310,310,15,1,294,0.04838709677419355,0.0032258064516129032,0.9483870967741935,Deployment
0.8,unconstrained,7,208,208,8,1,199,0.038461538461538464,0.004807692307692308,0.9567307692307693,Deployment
0.8,unconstrained,32,32,32,0,28,4,0.0,0.875,0.125,Training
0.8,unconstrained,34,142,142,12,1,129,0.08450704225352113,0.007042253521126761,0.9084507042253521,Deployment
0.8,unconstrained,24,27,27,0,0,27,0.0,0.0,1.0,Deployment
0.8,unconstrained,11,211,211,7,0,204,0.03317535545023697,0.0,0.966824644549763,Deployment
0.8,unconstrained,30,166,166,28,133,5,0.1686746987951807,0.8012048192771084,0.030120481927710843,Training
0.8,unconstrained,31,45,45,16,11,18,0.35555555555555557,0.24444444444444444,0.4,Deployment
0.8,unconstrained,2,86,86,4,0,82,0.046511627906976744,0.0,0.9534883720930233,Deployment
0.8,unconstrained,12,202,202,4,196,2,0.019801980198019802,0.9702970297029703,0.009900990099009901,Training
0.8,unconstrained,19,124,124,26,18,80,0.20967741935483872,0.14516129032258066,0.6451612903225806,Deployment
0.8,unconstrained,21,29,29,20,4,5,0.6896551724137931,0.13793103448275862,0.1724137931034483,Design
