node_type,edge_config,mode,n_clusters,n_embeddings,n_edge_only,cluster_size_mean,cluster_size_median,cluster_size_std,cluster_size_min,cluster_size_max,silhouette_mean,silhouette_median,silhouette_min,silhouette_max,edge_validation_mean,edge_validation_min,edge_validation_max,n_pathways,path_length_mean,path_length_median
intervention,0.8,single_risk,58,5415,16965,110.51020408163264,82.0,97.6020914900068,13,527,0.4711496233940124,0.4711496233940124,0.4177333116531372,0.5245659351348877,0.499969997245509,0.0,1.0,440875,10.57770343067763,10.0
intervention,0.8,monotonic,46,4821,16668,112.11627906976744,84.5,92.01446026458332,6,523,0.5077061355113983,0.5077061355113983,0.4891102910041809,0.5263019800186157,0.5453423724071889,0.0465116279069767,0.9746835443037974,4257205,9.737096052456952,10.0
intervention,0.8,both,50,4756,16604,105.68888888888888,66.0,100.8311729183925,7,490,0.4936717599630356,0.4936717599630356,0.4570409953594208,0.5303025245666504,0.553096239711586,0.0769230769230769,0.981132075471698,216303,8.36536247763554,8.0
intervention,0.85,unconstrained,44,4098,17136,97.57142857142856,83.0,69.25423929164153,5,319,0.4964408427476883,0.4964408427476883,0.4761047065258026,0.516776978969574,0.6501376484418833,0.0869565217391304,1.0,5688230,13.599068075657982,13.0
intervention,0.85,single_risk,49,4038,16965,90.74157303370788,86.0,66.02613171643237,7,276,0.4737256020307541,0.4737256020307541,0.4046700298786163,0.5427811741828918,0.6491342053601155,0.0,0.9935483870967742,106005,11.21277298240649,10.0
intervention,0.85,monotonic,44,3721,16668,88.5952380952381,72.5,66.01535157818165,7,254,0.4957311153411865,0.4957311153411865,0.4635668396949768,0.5278953909873962,0.723001563672207,0.221311475409836,1.0,1581435,10.148250165198064,10.0
intervention,0.85,both,41,3668,16604,90.5679012345679,83.0,64.09617354800845,1,264,0.4931931495666504,0.4931931495666504,0.4635525345802307,0.5228337645530701,0.733485969369217,0.1282051282051282,1.0,55619,8.661824196767292,9.0
intervention,0.9,unconstrained,40,2970,17136,80.27027027027027,75.5,54.077096440049495,5,259,0.4355947077274322,0.4355947077274322,0.3697545528411865,0.501434862613678,0.9153282427392588,0.4736842105263157,1.0,1054527,14.317058738183093,13.0
intervention,0.9,single_risk,40,2938,16965,81.61111111111111,65.0,58.34965380159022,5,255,0.4468136429786682,0.4468136429786682,0.4215778112411499,0.4720494747161865,0.9351508220021224,0.5283018867924528,1.0,7103,9.061804871181192,8.0
intervention,0.9,monotonic,40,2880,16668,77.83783783783784,65.0,55.10800869521672,5,220,0.4601193517446518,0.4601193517446518,0.4565637707710266,0.463674932718277,0.9406337227762914,0.5576923076923077,1.0,336092,10.24367435107054,10.0
intervention,0.9,both,40,2856,16604,79.33333333333333,72.5,54.17666574376012,4,226,0.4280920028686523,0.4280920028686523,0.3744444549083709,0.4817395508289337,0.9409018802147052,0.5882352941176471,1.0,5939,7.95841050681933,7.0
intervention,0.95,unconstrained,40,2719,17136,71.55263157894737,64.5,48.77887666669115,3,202,0.4590557813644409,0.4590557813644409,0.4224232137203216,0.4956883490085602,0.9985244293624378,0.967741935483871,1.0,60139,12.097357787791616,11.0
intervention,0.95,single_risk,40,2718,16965,73.45945945945945,64.0,51.45850839457263,2,216,0.4310576915740967,0.4310576915740967,0.3751433491706848,0.4869720339775085,0.998585998129216,0.9682539682539684,1.0,3319,6.793612533895752,7.0
intervention,0.95,monotonic,40,2675,16668,75.35211267605634,68.0,50.13196629728755,5,206,0.4515289515256881,0.4515289515256881,0.4122835099697113,0.490774393081665,0.99882192707567,0.9736842105263158,1.0,46856,10.725478060440498,11.0
intervention,0.95,both,40,2674,16604,78.6470588235294,72.0,52.60696797559023,5,253,0.4557010978460312,0.4557010978460312,0.4219469428062439,0.4894552528858185,0.9986554989775138,0.9682539682539684,1.0,3216,6.745957711442786,7.0
all_concepts,EDGE,unconstrained,64,11783,17136,226.59615384615384,172.0,201.42318249582289,1,1139,0.3060840964317322,0.3060840964317322,0.2473718822002411,0.3647963106632232,1.0,1.0,1.0,3473,6.861790958825223,7.0
all_concepts,EDGE,single_risk,62,11722,16965,229.843137254902,176.5,187.84645091022983,13,1017,0.3043414279818535,0.3043414279818535,0.2379057556390762,0.3707771003246307,1.0,1.0,1.0,3306,6.787356321839081,7.0
all_concepts,EDGE,monotonic,61,11466,16668,227.04950495049505,185.0,191.29756905276528,1,888,0.3080680593848228,0.3080680593848228,0.2400805205106735,0.3760555982589721,1.0,1.0,1.0,3301,6.788245986064829,7.0
all_concepts,EDGE,both,61,11466,16604,227.04950495049505,195.0,184.1706255933288,12,835,0.3074493631720543,0.3074493631720543,0.2312645763158798,0.3836341500282287,1.0,1.0,1.0,3203,6.739306899781455,7.0
