edge_config,mode,node_type,cluster_id,year_min,year_max,year_range,year_mean,year_median,n_nodes_with_year,cluster_size
0.8,monotonic,risk,33,2010,2023,13,2021.1503759398497,2022.0,266,266
0.8,monotonic,risk,22,2008,2023,15,2020.3010526315788,2022.0,475,476
0.8,monotonic,risk,28,2017,2023,6,2021.1728395061727,2022.0,81,81
0.8,monotonic,risk,27,2016,2023,7,2021.0875,2021.0,80,81
0.8,monotonic,risk,31,2004,2023,19,2021.5193370165746,2023.0,181,181
0.8,monotonic,risk,29,2013,2023,10,2021.32,2022.0,25,25
0.8,monotonic,risk,38,2008,2023,15,2021.421052631579,2023.0,57,57
0.8,monotonic,risk,26,2009,2023,14,2021.2938144329896,2022.0,194,194
0.8,monotonic,risk,24,2011,2023,12,2020.675,2022.0,80,80
0.8,monotonic,risk,15,2008,2023,15,2018.4901960784314,2019.0,51,51
0.8,monotonic,risk,18,2008,2023,15,2017.2903225806451,2016.0,31,31
0.8,monotonic,intervention,1,2006,2023,17,2020.6386233269598,2022.0,523,523
0.8,monotonic,intervention,6,2011,2023,12,2019.4960317460318,2020.0,252,252
0.8,monotonic,intervention,18,2013,2023,10,2019.842105263158,2020.0,95,95
0.8,monotonic,intervention,26,2002,2023,21,2017.5135135135135,2018.0,74,74
0.8,monotonic,intervention,7,2003,2023,20,2020.378277153558,2022.0,267,268
0.8,monotonic,intervention,22,2014,2023,9,2020.41059602649,2021.0,151,152
0.8,monotonic,intervention,0,2010,2023,13,2019.8210116731518,2020.0,257,258
0.8,monotonic,intervention,34,2012,2023,11,2019.6258503401361,2020.0,147,147
0.8,monotonic,intervention,17,2010,2023,13,2020.253164556962,2021.0,79,79
0.8,monotonic,intervention,31,2018,2023,5,2022.2307692307693,2022.5,26,26
0.8,monotonic,intervention,2,1994,2023,29,2018.7558139534883,2019.0,172,172
0.8,monotonic,intervention,25,2018,2022,4,2020.2962962962963,2020.0,27,27
0.8,monotonic,intervention,36,2014,2023,9,2021.7945945945946,2023.0,185,186
0.8,monotonic,intervention,19,2013,2023,10,2020.504854368932,2021.0,103,103
0.8,monotonic,intervention,20,2008,2023,15,2020.2774566473988,2022.0,173,174
0.8,monotonic,intervention,16,2003,2023,20,2021.280303030303,2022.0,132,132
0.8,monotonic,intervention,15,2008,2023,15,2020.9800664451827,2022.0,301,304
0.8,monotonic,intervention,35,2013,2023,10,2020.578947368421,2021.0,38,38
0.8,monotonic,intervention,21,2011,2023,12,2017.4810126582279,2017.0,79,79
0.8,monotonic,intervention,8,2005,2023,18,2019.810650887574,2021.0,169,169
0.8,monotonic,intervention,10,2013,2023,10,2021.7293233082708,2022.0,133,139
0.8,monotonic,intervention,14,2008,2023,15,2021.1198156682028,2022.0,217,221
0.8,monotonic,intervention,39,2018,2023,5,2022.095238095238,2022.5,42,42
0.8,monotonic,intervention,4,2008,2023,15,2020.2475728155339,2022.0,206,207
0.8,monotonic,intervention,3,2014,2023,9,2020.84375,2022.0,64,64
0.8,monotonic,intervention,12,2009,2023,14,2020.544217687075,2022.0,294,295
0.8,monotonic,intervention,23,2013,2023,10,2018.6538461538462,2018.5,26,27
0.8,monotonic,intervention,13,2015,2023,8,2021.6603773584907,2022.0,53,54
