edge_config,mode,node_type,agg_silhouette,agg_n_clusters,louvain_silhouette,louvain_n_clusters,hdbscan_silhouette,hdbscan_n_clusters,hdbscan_noise_pct,sil_diff_louvain_minus_agg,sil_diff_hdbscan_minus_agg
0.9,unconstrained,validation_evidence,0.4451750963926315,40,0.01781790889799595,31,0.27524831891059875,3,93.0,-0.4273571874946355,-0.16992677748203272
0.9,single_risk,risk,0.5149587392807007,40,0.004162479657679796,39,0.4054606854915619,4,76.0,-0.5107962596230209,-0.1094980537891388
0.9,single_risk,intervention,0.4468136429786682,40,0.034882500767707825,32,0.38207316398620605,4,89.25,-0.4119311422109604,-0.06474047899246216
0.9,single_risk,all_concepts,0.3298479914665222,40,-0.047300733625888824,74,,0,100.0,-0.37714872509241104,
0.9,single_risk,problem_analysis,0.4867147952318191,40,0.04431350156664848,36,0.434346467256546,4,82.0,-0.4424012936651706,-0.05236832797527308
0.9,single_risk,theoretical_insight,0.3867331594228744,40,0.008672434836626053,31,0.18121333420276642,2,85.25,-0.37806072458624834,-0.20551982522010798
0.9,single_risk,design_rationale,0.367958515882492,40,0.006362453103065491,31,,0,100.0,-0.3615960627794265,
0.9,single_risk,implementation_mechanism,0.4539382755756378,40,0.027547774836421013,32,0.23871852457523346,2,85.25,-0.4263905007392168,-0.21521975100040436
0.9,single_risk,validation_evidence,0.3993701189756393,40,0.007822314277291298,27,0.20937521755695343,2,61.75000000000001,-0.391547804698348,-0.18999490141868586
0.9,monotonic,risk,0.553881362080574,40,0.007758551277220249,48,0.49009349942207336,5,59.0,-0.5461228108033538,-0.06378786265850067
0.9,monotonic,intervention,0.4601193517446518,40,0.02335953526198864,34,0.47443339228630066,5,86.0,-0.43675981648266315,0.014314040541648865
0.9,monotonic,all_concepts,0.3366372585296631,40,-0.028081584721803665,72,0.13944728672504425,3,85.75,-0.36471884325146675,-0.19718997180461884
0.9,monotonic,problem_analysis,0.48230741918087,40,0.033875707536935806,33,0.4116697907447815,5,83.0,-0.4484317116439342,-0.0706376284360885
0.9,monotonic,theoretical_insight,0.4122436791658401,40,0.026036296039819717,27,0.2785000801086426,4,91.75,-0.3862073831260204,-0.13374359905719752
0.9,monotonic,design_rationale,0.3970120698213577,40,0.013764899224042892,31,0.16531936824321747,2,81.0,-0.38324717059731483,-0.23169270157814026
0.9,monotonic,implementation_mechanism,0.4507678002119064,40,0.0005537584656849504,32,0.3509041666984558,3,90.25,-0.4502140417462214,-0.09986363351345057
0.9,monotonic,validation_evidence,0.4304598271846771,40,-0.008265268988907337,30,,0,100.0,-0.43872509617358446,
0.9,both,risk,0.5193306058645248,40,-0.02439608983695507,35,0.23791861534118652,3,59.5,-0.5437266957014799,-0.2814119905233383
0.9,both,intervention,0.4280920028686523,40,0.03368542343378067,32,0.30710214376449585,2,79.0,-0.3944065794348716,-0.12098985910415644
0.9,both,all_concepts,0.3488297313451767,40,-0.01293850876390934,68,0.2706717550754547,3,91.5,-0.36176824010908604,-0.07815797626972198
0.9,both,problem_analysis,0.4822638183832168,40,0.029699666425585747,34,0.2475484013557434,3,78.25,-0.45256415195763106,-0.2347154170274734
0.9,both,theoretical_insight,0.4291419684886932,40,0.006070805247873068,30,0.18232648074626923,3,77.75,-0.4230711632408201,-0.24681548774242396
0.9,both,design_rationale,0.3820559829473495,40,0.00879866536706686,34,,0,100.0,-0.37325731758028263,
0.9,both,implementation_mechanism,0.4616146087646484,40,0.03904595598578453,30,0.21995395421981812,5,77.5,-0.42256865277886385,-0.24166065454483027
0.9,both,validation_evidence,0.4315672814846039,40,0.004887741059064865,29,,0,100.0,-0.426679540425539,
0.95,unconstrained,risk,0.5294180512428284,40,-0.006145051680505276,43,0.466511607170105,3,59.5,-0.5355631029233336,-0.06290644407272339
0.95,unconstrained,intervention,0.4590557813644409,40,0.02019394002854824,36,0.1586332619190216,2,79.0,-0.4388618413358927,-0.3004225194454193
0.95,unconstrained,all_concepts,0.2658843845129013,40,-0.015826905146241188,66,0.23000244796276093,2,93.0,-0.2817112896591425,-0.03588193655014038
0.95,unconstrained,problem_analysis,0.4413648843765259,40,0.02429047040641308,31,0.2513618469238281,5,89.0,-0.4170744139701128,-0.19000303745269775
0.95,unconstrained,theoretical_insight,0.3742752075195312,40,0.011918621137738228,26,0.14527259767055511,3,88.75,-0.36235658638179297,-0.22900260984897608
0.95,unconstrained,design_rationale,0.3501714020967483,40,0.014273498207330704,28,0.31823214888572693,3,93.0,-0.3358979038894176,-0.03193925321102137
0.95,unconstrained,implementation_mechanism,0.4040181338787079,40,0.008403932675719261,34,0.0969315692782402,3,72.75,-0.3956142012029886,-0.3070865646004677
0.95,unconstrained,validation_evidence,0.4048812985420227,40,0.013464551419019699,30,0.1149650365114212,2,90.25,-0.391416747123003,-0.2899162620306015
0.95,single_risk,risk,0.4703726470470428,40,-0.000997629715129733,32,0.4311780333518982,5,76.75,-0.4713702767621725,-0.0391946136951446
0.95,single_risk,intervention,0.4310576915740967,40,0.01377169694751501,34,0.32162100076675415,5,86.0,-0.41728599462658167,-0.10943669080734253
0.95,single_risk,all_concepts,0.2964912801980972,40,-0.02616713009774685,61,0.2755466103553772,3,91.75,-0.322658410295844,-0.020944669842719976
0.95,single_risk,problem_analysis,0.4593249708414078,40,0.0013619369128718972,31,0.34952548146247864,3,88.5,-0.4579630339285359,-0.10979948937892914
0.95,single_risk,theoretical_insight,0.3913126587867737,40,0.007735028862953186,29,0.20082172751426697,2,90.0,-0.3835776299238205,-0.1904909312725067
0.95,single_risk,design_rationale,0.3631477504968643,40,0.018331734463572502,27,0.30333513021469116,4,89.75,-0.3448160160332918,-0.05981262028217316
0.95,single_risk,implementation_mechanism,0.422043889760971,40,0.0315815694630146,28,0.21756555140018463,3,87.0,-0.3904623202979564,-0.20447833836078638
0.95,single_risk,validation_evidence,0.4097686856985092,40,0.0029482331592589617,31,0.20124390721321106,2,95.0,-0.40682045253925025,-0.20852477848529816
0.95,monotonic,risk,0.5458786487579346,40,-0.017549943178892136,42,0.4923139214515686,4,61.5,-0.5634285919368267,-0.05356472730636597
0.95,monotonic,intervention,0.4515289515256881,40,0.029249921441078186,31,0.22833572328090668,2,86.25,-0.42227903008460993,-0.22319322824478144
0.95,monotonic,all_concepts,0.3141887485980987,40,-0.02724376507103443,62,,0,100.0,-0.34143251366913313,
0.95,monotonic,problem_analysis,0.4397119879722595,40,0.01412457786500454,32,0.26212942600250244,2,85.5,-0.425587410107255,-0.17758256196975708
0.95,monotonic,theoretical_insight,0.3679838329553604,40,0.015397423878312111,29,0.1666753739118576,3,83.25,-0.3525864090770483,-0.2013084590435028
0.95,monotonic,design_rationale,0.3581405878067016,40,0.004409837070852518,29,0.3326961100101471,3,91.5,-0.3537307507358491,-0.02544447779655451
0.95,monotonic,implementation_mechanism,0.4189316034317016,40,0.03111257590353489,33,0.26582276821136475,4,89.75,-0.3878190275281667,-0.15310883522033686
0.95,monotonic,validation_evidence,0.4061005562543869,40,4.1863917431328446e-05,31,0.06218492612242699,2,78.25,-0.4060586923369556,-0.3439156301319599
0.95,both,risk,0.4941112995147705,40,0.025203080847859383,32,0.4330611526966095,5,79.0,-0.4689082186669111,-0.06105014681816101
0.95,both,intervention,0.4557010978460312,40,0.03896842896938324,28,0.36638766527175903,5,87.5,-0.41673266887664795,-0.08931343257427216
0.95,both,all_concepts,0.3117391616106033,40,-0.03083796054124832,62,0.25138360261917114,3,89.5,-0.3425771221518516,-0.060355558991432134
0.95,both,problem_analysis,0.4735385030508041,40,0.03368119150400162,30,0.09025760740041733,2,68.5,-0.43985731154680247,-0.38328089565038675
0.95,both,theoretical_insight,0.3885068595409393,40,0.009430605918169022,26,0.22654661536216736,4,87.75,-0.37907625362277025,-0.16196024417877192
0.95,both,design_rationale,0.3660895079374313,40,0.00861787237226963,29,0.20641721785068512,3,89.25,-0.35747163556516165,-0.15967229008674616
0.95,both,implementation_mechanism,0.431873619556427,40,0.016256708651781082,32,0.3358384370803833,3,92.0,-0.4156169109046459,-0.0960351824760437
0.95,both,validation_evidence,0.4005654454231262,40,0.01534839067608118,30,0.24213102459907532,2,91.75,-0.38521705474704504,-0.1584344208240509
