edge_config,mode,cluster_id,cluster_size,n_unique_risk_categories,is_multi_risk,categories
0.8,unconstrained,1,322,1,False,risk
0.8,unconstrained,17,385,1,False,risk
0.8,unconstrained,13,640,1,False,risk
0.8,unconstrained,8,319,1,False,risk
0.8,unconstrained,32,226,1,False,risk
0.8,unconstrained,4,383,1,False,risk
0.8,unconstrained,5,137,1,False,risk
0.8,unconstrained,15,551,1,False,risk
0.8,unconstrained,22,196,1,False,risk
0.8,unconstrained,24,60,1,False,risk
0.8,unconstrained,38,55,1,False,risk
0.8,unconstrained,16,292,1,False,risk
0.8,unconstrained,23,80,1,False,risk
0.8,unconstrained,9,451,1,False,risk
0.8,unconstrained,14,362,1,False,risk
0.8,unconstrained,30,519,1,False,risk
0.8,unconstrained,2,350,1,False,risk
0.8,unconstrained,12,263,1,False,risk
0.8,unconstrained,0,296,1,False,risk
0.8,unconstrained,37,14,1,False,risk
0.8,unconstrained,6,238,1,False,risk
0.8,unconstrained,11,258,1,False,risk
0.8,unconstrained,33,207,1,False,risk
0.8,unconstrained,35,85,1,False,risk
0.8,unconstrained,36,87,1,False,risk
0.8,unconstrained,31,93,1,False,risk
0.8,unconstrained,25,20,1,False,risk
0.8,unconstrained,27,60,1,False,risk
0.8,unconstrained,26,196,1,False,risk
0.8,unconstrained,18,88,1,False,risk
0.8,unconstrained,28,45,1,False,risk
0.8,unconstrained,34,61,1,False,risk
0.8,unconstrained,19,60,1,False,risk
0.8,unconstrained,20,15,1,False,risk
0.8,unconstrained,39,14,1,False,risk
0.85,unconstrained,9,438,1,False,risk
0.85,unconstrained,16,175,1,False,risk
0.85,unconstrained,12,197,1,False,risk
0.85,unconstrained,6,217,1,False,risk
0.85,unconstrained,32,198,1,False,risk
0.85,unconstrained,4,450,1,False,risk
0.85,unconstrained,19,160,1,False,risk
0.85,unconstrained,8,299,1,False,risk
0.85,unconstrained,22,395,1,False,risk
0.85,unconstrained,2,420,1,False,risk
0.85,unconstrained,1,244,1,False,risk
0.85,unconstrained,0,302,1,False,risk
0.85,unconstrained,28,460,1,False,risk
0.85,unconstrained,7,160,1,False,risk
0.85,unconstrained,31,57,1,False,risk
0.85,unconstrained,20,71,1,False,risk
0.85,unconstrained,39,72,1,False,risk
0.85,unconstrained,5,214,1,False,risk
0.85,unconstrained,15,281,1,False,risk
0.85,unconstrained,21,99,1,False,risk
0.85,unconstrained,33,196,1,False,risk
0.85,unconstrained,3,410,1,False,risk
0.85,unconstrained,13,217,1,False,risk
0.85,unconstrained,10,152,1,False,risk
0.85,unconstrained,14,146,1,False,risk
0.85,unconstrained,34,46,1,False,risk
0.85,unconstrained,18,414,1,False,risk
0.85,unconstrained,26,331,1,False,risk
0.85,unconstrained,38,59,1,False,risk
0.85,unconstrained,37,200,1,False,risk
0.85,unconstrained,30,70,1,False,risk
0.85,unconstrained,29,81,1,False,risk
0.85,unconstrained,11,90,1,False,risk
0.85,unconstrained,17,49,1,False,risk
0.85,unconstrained,35,57,1,False,risk
0.85,unconstrained,24,55,1,False,risk
0.85,unconstrained,23,35,1,False,risk
0.85,unconstrained,25,32,1,False,risk
0.85,unconstrained,27,58,1,False,risk
0.85,unconstrained,36,1,1,False,risk
0.9,unconstrained,14,158,1,False,risk
0.9,unconstrained,6,214,1,False,risk
0.9,unconstrained,19,136,1,False,risk
0.9,unconstrained,21,179,1,False,risk
0.9,unconstrained,35,168,1,False,risk
0.9,unconstrained,12,102,1,False,risk
0.9,unconstrained,15,121,1,False,risk
0.9,unconstrained,0,299,1,False,risk
0.9,unconstrained,17,116,1,False,risk
0.9,unconstrained,24,48,1,False,risk
0.9,unconstrained,10,367,1,False,risk
0.9,unconstrained,20,105,1,False,risk
0.9,unconstrained,5,155,1,False,risk
0.9,unconstrained,9,219,1,False,risk
0.9,unconstrained,16,269,1,False,risk
0.9,unconstrained,4,341,1,False,risk
0.9,unconstrained,1,114,1,False,risk
0.9,unconstrained,2,112,1,False,risk
0.9,unconstrained,8,126,1,False,risk
0.9,unconstrained,33,49,1,False,risk
0.9,unconstrained,25,223,1,False,risk
0.9,unconstrained,7,142,1,False,risk
0.9,unconstrained,38,102,1,False,risk
0.9,unconstrained,26,235,1,False,risk
0.9,unconstrained,11,126,1,False,risk
0.9,unconstrained,34,37,1,False,risk
0.9,unconstrained,22,221,1,False,risk
0.9,unconstrained,31,59,1,False,risk
