node_type,cluster_id,n_nodes,centroid_sim_mean,n_unique_cats,split_reason,n_subclusters,sub_cluster_summary
risk,22,221,0.7419,1,large_size,5,"{'1': [('risk', 75)], '3': [('risk', 35)], '0': [('risk', 39)], '4': [('risk', 30)], '2': [('risk', 42)]}"
intervention,25,105,0.6456,0,large_size,5,"{'1': [(None, 44)], '3': [(None, 29)], '2': [(None, 4)], '0': [(None, 20)], '4': [(None, 8)]}"
intervention,6,111,0.7366,0,large_size,5,"{'4': [(None, 6)], '2': [(None, 28)], '3': [(None, 38)], '0': [(None, 15)], '1': [(None, 24)]}"
intervention,35,162,0.7536,0,large_size,5,"{'2': [(None, 29)], '3': [(None, 41)], '0': [(None, 64)], '4': [(None, 10)], '1': [(None, 18)]}"
intervention,0,124,0.6511,0,large_size,5,"{'2': [(None, 21)], '4': [(None, 47)], '0': [(None, 31)], '1': [(None, 14)], '3': [(None, 11)]}"
intervention,8,232,0.6788,0,large_size,5,"{'0': [(None, 94)], '4': [(None, 25)], '1': [(None, 45)], '3': [(None, 26)], '2': [(None, 42)]}"
intervention,9,120,0.6369,0,large_size,5,"{'3': [(None, 21)], '1': [(None, 23)], '0': [(None, 54)], '2': [(None, 16)], '4': [(None, 6)]}"
intervention,4,199,0.632,0,large_size,5,"{'0': [(None, 90)], '3': [(None, 39)], '1': [(None, 24)], '4': [(None, 18)], '2': [(None, 28)]}"
intervention,1,105,0.6369,0,large_size,5,"{'2': [(None, 18)], '4': [(None, 17)], '1': [(None, 31)], '3': [(None, 31)], '0': [(None, 8)]}"
intervention,26,172,0.6907,0,large_size,5,"{'1': [(None, 53)], '2': [(None, 67)], '4': [(None, 14)], '0': [(None, 32)], '3': [(None, 6)]}"
intervention,5,189,0.6858,0,large_size,5,"{'2': [(None, 72)], '0': [(None, 43)], '3': [(None, 32)], '4': [(None, 22)], '1': [(None, 20)]}"
intervention,11,117,0.6357,0,large_size,5,"{'2': [(None, 25)], '4': [(None, 19)], '1': [(None, 16)], '3': [(None, 20)], '0': [(None, 37)]}"
