edge_config,mode,node_type,cluster_id,year_min,year_max,year_range,year_mean,year_median,n_nodes_with_year,cluster_size
0.9,unconstrained,risk,31,2003,2023,20,2019.12,2020.0,59,59
0.9,unconstrained,risk,37,2015,2023,8,2020.58,2022.0,33,33
0.9,unconstrained,risk,27,2008,2023,15,2018.41,2019.5,44,44
0.9,unconstrained,risk,3,2016,2023,7,2022.16,2022.5,50,50
0.9,unconstrained,risk,18,2011,2023,12,2018.72,2019.0,60,60
0.9,unconstrained,risk,28,2014,2023,9,2021.0,2021.0,45,45
0.9,unconstrained,risk,32,2014,2023,9,2018.87,2019.0,23,23
0.9,unconstrained,risk,39,2017,2023,6,2020.8,2021.0,10,10
0.9,unconstrained,risk,29,2019,2023,4,2021.67,2022.0,15,15
0.9,unconstrained,risk,30,2010,2023,13,2019.36,2020.0,39,39
0.9,unconstrained,risk,23,2014,2023,9,2020.35,2020.5,20,20
0.9,unconstrained,risk,36,2021,2021,0,2021.0,2021.0,3,3
0.9,unconstrained,risk,13,2021,2021,0,2021.0,2021.0,4,4
0.9,unconstrained,intervention,32,2013,2023,10,2019.87,2020.0,53,53
0.9,unconstrained,intervention,25,2003,2023,20,2018.12,2019.0,105,105
0.9,unconstrained,intervention,24,2016,2023,7,2022.22,2023.0,78,78
0.9,unconstrained,intervention,6,2014,2023,9,2019.85,2019.5,110,111
0.9,unconstrained,intervention,35,2006,2023,17,2020.26,2021.0,185,185
0.9,unconstrained,intervention,15,2013,2023,10,2021.07,2022.0,87,87
0.9,unconstrained,intervention,0,2012,2023,11,2019.65,2020.0,126,126
0.9,unconstrained,intervention,8,2011,2023,12,2020.08,2022.0,257,259
0.9,unconstrained,intervention,9,2012,2023,11,2019.67,2021.0,122,122
0.9,unconstrained,intervention,34,2012,2023,11,2020.31,2021.0,71,71
0.9,unconstrained,intervention,22,2010,2023,13,2020.65,2021.0,69,69
0.9,unconstrained,intervention,14,2018,2023,5,2021.6,2022.0,15,15
0.9,unconstrained,intervention,16,2012,2023,11,2018.48,2019.0,25,25
0.9,unconstrained,intervention,23,1994,2022,28,2018.29,2019.0,101,101
0.9,unconstrained,intervention,4,2009,2023,14,2020.86,2022.0,201,203
0.9,unconstrained,intervention,1,2006,2023,17,2020.01,2021.0,106,106
0.9,unconstrained,intervention,2,2006,2023,17,2019.33,2020.0,76,76
0.9,unconstrained,intervention,19,2012,2023,11,2019.84,2020.0,80,80
0.9,unconstrained,intervention,28,2014,2023,9,2021.05,2022.0,19,19
0.9,unconstrained,intervention,26,2012,2022,10,2019.54,2020.0,174,174
0.9,unconstrained,intervention,17,2002,2023,21,2018.88,2020.0,42,42
0.9,unconstrained,intervention,5,2008,2023,15,2020.52,2021.0,188,190
0.9,unconstrained,intervention,18,2012,2023,11,2021.04,2021.0,53,53
0.9,unconstrained,intervention,36,2012,2023,11,2020.34,2021.0,38,38
0.9,unconstrained,intervention,21,2010,2023,13,2016.45,2016.0,47,48
0.9,unconstrained,intervention,10,2014,2023,9,2020.98,2022.0,92,95
0.9,unconstrained,intervention,39,2015,2023,8,2022.18,2023.0,38,42
0.9,unconstrained,intervention,38,2005,2023,18,2019.31,2021.0,68,68
0.9,unconstrained,intervention,11,2011,2023,12,2020.42,2022.0,117,117
0.9,unconstrained,intervention,13,2014,2023,9,2020.12,2020.5,26,26
0.9,unconstrained,intervention,3,2013,2023,10,2018.18,2019.0,22,22
0.9,unconstrained,intervention,31,2016,2023,7,2020.96,2022.0,28,28
0.9,unconstrained,intervention,33,2018,2023,5,2022.24,2023.0,34,34
0.9,unconstrained,intervention,27,2016,2023,7,2020.65,2021.0,23,23
0.9,unconstrained,intervention,20,2013,2023,10,2019.56,2020.0,25,25
0.9,unconstrained,intervention,30,2015,2022,7,2020.65,2022.0,17,17
0.9,unconstrained,intervention,7,2010,2022,12,2019.42,2019.5,12,12
0.9,unconstrained,intervention,12,2013,2023,10,2019.14,2020.0,14,14
0.9,unconstrained,intervention,37,2022,2022,0,2022.0,2022.0,6,6
0.9,unconstrained,intervention,29,2014,2023,9,2020.8,2023.0,5,5
