risk_cid,interv_cid,key,n_paths_c0,n_paths_c1,n_paths_c2,c1_boost,c2_boost
2,13,2_13,0,6,60,6,54
4.0,30.0,4_30,21,39,60,18,21
31,24,31_24,0,3,60,3,57
1,29,1_29,0,14,60,14,46
28,38,28_38,0,0,60,0,60
37,32,37_32,0,4,60,4,56
27,1,27_1,0,0,60,0,60
5.0,24.0,5_24,2,10,60,8,50
7,18,7_18,0,1,59,1,58
23.0,35.0,23_35,3,5,59,2,54
5.0,6.0,5_6,5,9,59,4,50
15.0,2.0,15_2,2,9,59,7,50
6.0,22.0,6_22,4,23,58,19,35
1,36,1_36,0,0,58,0,58
11.0,25.0,11_25,1,1,58,0,57
12.0,21.0,12_21,1,8,58,7,50
28.0,1.0,28_1,1,4,57,3,53
5.0,11.0,5_11,2,4,57,2,53
27,26,27_26,0,0,56,0,56
22.0,33.0,22_33,26,33,56,7,23
19.0,18.0,19_18,1,2,56,1,54
34,19,34_19,0,17,55,17,38
20.0,2.0,20_2,1,2,55,1,53
1.0,28.0,1_28,1,6,55,5,49
14.0,10.0,14_10,2,10,55,8,45
20,28,20_28,0,2,54,2,52
22.0,22.0,22_22,25,30,54,5,24
20,13,20_13,0,4,54,4,50
12,13,12_13,0,1,54,1,53
33.0,4.0,33_4,12,19,54,7,35
1,13,1_13,0,0,54,0,54
17.0,18.0,17_18,1,2,53,1,51
17,25,17_25,0,2,53,2,51
37,24,37_24,0,6,53,6,47
33.0,6.0,33_6,12,20,53,8,33
4.0,21.0,4_21,8,8,53,0,45
14.0,15.0,14_15,6,13,53,7,40
30.0,1.0,30_1,1,2,53,1,51
9.0,33.0,9_33,2,17,53,15,36
11,17,11_17,0,3,52,3,49
17,27,17_27,0,1,52,1,51
24.0,23.0,24_23,1,9,52,8,43
28,32,28_32,0,4,52,4,48
8,39,8_39,0,15,51,15,36
2,2,2_2,0,2,51,2,49
1,2,1_2,0,4,51,4,47
19,0,19_0,0,0,51,0,51
2,21,2_21,0,1,51,1,50
8.0,10.0,8_10,1,10,51,9,41
20.0,21.0,20_21,1,1,51,0,50
20.0,34.0,20_34,1,6,51,5,45
12,12,12_12,0,2,50,2,48
3,1,3_1,0,3,50,3,47
4.0,9.0,4_9,10,16,50,6,34
15.0,13.0,15_13,1,5,50,4,45
37,23,37_23,0,2,50,2,48
24,19,24_19,0,12,49,12,37
0.0,25.0,0_25,5,7,48,2,41
32,15,32_15,0,8,48,8,40
18,25,18_25,0,4,48,4,44
7,9,7_9,0,0,48,0,48
28.0,15.0,28_15,1,5,48,4,43
38,13,38_13,0,0,48,0,48
19.0,25.0,19_25,1,3,48,2,45
2,12,2_12,0,3,48,3,45
3,32,3_32,0,6,48,6,42
18,29,18_29,0,0,47,0,47
14.0,1.0,14_1,10,16,47,6,31
0.0,19.0,0_19,3,13,47,10,34
27.0,38.0,27_38,1,3,47,2,44
28,39,28_39,0,5,46,5,41
38,2,38_2,0,0,46,0,46
22,28,22_28,0,2,46,2,44
31.0,1.0,31_1,17,19,46,2,27
9.0,22.0,9_22,6,21,46,15,25
9.0,9.0,9_9,2,5,45,3,40
0.0,18.0,0_18,12,17,45,5,28
5.0,26.0,5_26,12,14,45,2,31
16.0,14.0,16_14,8,36,45,28,9
12,36,12_36,0,4,45,4,41
33.0,5.0,33_5,3,6,45,3,39
7,31,7_31,0,11,45,11,34
20,12,20_12,0,8,45,8,37
11.0,18.0,11_18,1,2,45,1,43
18,13,18_13,0,15,44,15,29
34.0,27.0,34_27,1,11,44,10,33
38.0,22.0,38_22,2,22,44,20,22
6,9,6_9,0,3,44,3,41
7,33,7_33,0,5,44,5,39
8,38,8_38,0,1,43,1,42
15,12,15_12,0,1,43,1,42
1,21,1_21,0,0,43,0,43
31,26,31_26,0,2,43,2,41
11,27,11_27,0,2,42,2,40
8.0,1.0,8_1,5,5,42,0,37
1,12,1_12,0,3,42,3,39
31,38,31_38,0,0,42,0,42
15,28,15_28,0,1,42,1,41
0.0,36.0,0_36,22,30,42,8,12
32,10,32_10,0,9,42,9,33
37,15,37_15,0,0,42,0,42
9.0,31.0,9_31,2,16,41,14,25
17.0,17.0,17_17,1,2,41,1,39
14.0,32.0,14_32,4,9,41,5,32
0.0,17.0,0_17,6,10,41,4,31
32,39,32_39,0,10,41,10,31
8,15,8_15,0,6,41,6,35
15.0,21.0,15_21,1,1,41,0,40
32,38,32_38,0,2,40,2,38
37,19,37_19,0,0,40,0,40
7,13,7_13,0,0,39,0,39
31,10,31_10,0,0,39,0,39
0.0,27.0,0_27,4,7,39,3,32
31,39,31_39,0,1,39,1,38
7,36,7_36,0,0,39,0,39
34.0,17.0,34_17,2,12,38,10,26
21,28,21_28,0,2,38,2,36
31.0,15.0,31_15,2,4,38,2,34
17.0,21.0,17_21,2,10,38,8,28
2.0,9.0,2_9,1,1,38,0,37
32,1,32_1,0,5,37,5,32
2.0,31.0,2_31,2,14,37,12,23
38,37,38_37,0,22,37,22,15
24.0,17.0,24_17,1,7,36,6,29
34,25,34_25,0,6,36,6,30
38.0,28.0,38_28,1,1,36,0,35
34,0,34_0,0,0,36,0,36
22.0,9.0,22_9,5,6,36,1,30
23,5,23_5,0,0,36,0,36
5.0,2.0,5_2,25,28,36,3,8
8.0,32.0,8_32,1,5,36,4,31
38,9,38_9,0,0,35,0,35
15.0,9.0,15_9,7,21,35,14,14
19,13,19_13,0,2,35,2,33
14,39,14_39,0,6,35,6,29
2.0,33.0,2_33,1,10,35,9,25
33.0,10.0,33_10,9,14,35,5,21
24.0,25.0,24_25,1,2,34,1,32
5,38,5_38,0,0,34,0,34
20.0,9.0,20_9,2,3,34,1,31
35.0,12.0,35_12,1,3,34,2,31
29,11,29_11,0,3,34,3,31
3,23,3_23,0,2,33,2,31
11.0,0.0,11_0,1,1,33,0,32
2,36,2_36,0,0,33,0,33
1,31,1_31,0,10,33,10,23
1,9,1_9,0,0,33,0,33
34.0,18.0,34_18,1,9,33,8,24
22,12,22_12,0,3,33,3,30
9,37,9_37,0,6,33,6,27
5,10,5_10,0,3,33,3,30
29.0,5.0,29_5,1,1,33,0,32
38,33,38_33,0,5,32,5,27
32.0,32.0,32_32,1,6,32,5,26
37,38,37_38,0,0,32,0,32
5,39,5_39,0,0,32,0,32
30,25,30_25,0,0,32,0,32
7,21,7_21,0,0,32,0,32
24,27,24_27,0,5,32,5,27
18,2,18_2,0,0,32,0,32
12,2,12_2,0,2,31,2,29
34,29,34_29,0,10,31,10,21
17,29,17_29,0,0,31,0,31
29,24,29_24,0,2,31,2,29
33.0,11.0,33_11,1,3,31,2,28
38,31,38_31,0,1,31,1,30
1,33,1_33,0,9,31,9,22
32.0,26.0,32_26,3,8,31,5,23
17.0,33.0,17_33,1,4,31,3,27
23.0,4.0,23_4,2,9,31,7,22
35.0,37.0,35_37,1,5,30,4,25
11,29,11_29,0,2,30,2,28
28,19,28_19,0,0,30,0,30
20,31,20_31,0,14,30,14,16
33.0,24.0,33_24,1,9,30,8,21
22.0,37.0,22_37,5,13,30,8,17
35,33,35_33,0,11,29,11,18
35,21,35_21,0,5,29,5,24
28,23,28_23,0,1,29,1,28
30,17,30_17,0,2,29,2,27
29.0,4.0,29_4,2,8,29,6,21
30,19,30_19,0,4,29,4,25
0,29,0_29,0,2,29,2,27
5.0,0.0,5_0,20,23,29,3,6
2,22,2_22,0,6,28,6,22
14.0,19.0,14_19,5,10,28,5,18
14.0,23.0,14_23,4,6,28,2,22
20,33,20_33,0,11,28,11,17
5,15,5_15,0,1,28,1,27
31,32,31_32,0,4,28,4,24
24.0,0.0,24_0,1,1,28,0,27
2,37,2_37,0,7,28,7,21
12,31,12_31,0,2,28,2,26
12,28,12_28,0,0,28,0,28
20,37,20_37,0,5,28,5,23
11,28,11_28,0,0,28,0,28
8.0,17.0,8_17,11,15,27,4,12
17.0,13.0,17_13,1,1,27,0,26
15.0,31.0,15_31,2,2,27,0,25
30.0,28.0,30_28,9,10,27,1,17
3,19,3_19,0,6,27,6,21
22,21,22_21,0,3,27,3,24
19.0,21.0,19_21,1,6,27,5,21
15,33,15_33,0,1,26,1,25
37,0,37_0,0,0,26,0,26
39,35,39_35,0,6,26,6,20
34,28,34_28,0,5,26,5,21
4,37,4_37,0,13,26,13,13
12,29,12_29,0,4,25,4,21
19,29,19_29,0,2,25,2,23
3,0,3_0,0,2,25,2,23
24,18,24_18,0,4,25,4,21
14.0,2.0,14_2,11,19,25,8,6
5.0,19.0,5_19,7,11,25,4,14
12,9,12_9,0,0,25,0,25
21,36,21_36,0,0,25,0,25
34,13,34_13,0,6,24,6,18
8.0,25.0,8_25,5,7,24,2,17
5,1,5_1,0,0,24,0,24
37,18,37_18,0,2,24,2,22
19.0,12.0,19_12,1,2,24,1,22
18,9,18_9,0,0,24,0,24
27,17,27_17,0,1,24,1,23
4,12,4_12,0,0,24,0,24
4,22,4_22,0,2,24,2,22
17.0,12.0,17_12,1,1,24,0,23
8.0,19.0,8_19,3,5,24,2,19
22.0,31.0,22_31,1,6,24,5,18
0.0,2.0,0_2,2,4,23,2,19
24.0,22.0,24_22,1,2,23,1,21
23,24,23_24,0,1,23,1,22
18,31,18_31,0,2,23,2,21
18,33,18_33,0,4,22,4,18
4,33,4_33,0,0,22,0,22
4,31,4_31,0,0,22,0,22
16,36,16_36,0,0,22,0,22
11.0,31.0,11_31,2,4,22,2,18
12,33,12_33,0,4,22,4,18
19,28,19_28,0,4,22,4,18
15,22,15_22,0,1,21,1,20
35,31,35_31,0,9,21,9,12
28,25,28_25,0,3,21,3,18
18,22,18_22,0,1,21,1,20
3.0,18.0,3_18,3,4,21,1,17
23,6,23_6,0,0,21,0,21
5,32,5_32,0,0,21,0,21
27,25,27_25,0,0,21,0,21
11,2,11_2,0,0,21,0,21
19.0,31.0,19_31,2,8,21,6,13
34,2,34_2,0,0,21,0,21
28,27,28_27,0,1,21,1,20
20,36,20_36,0,4,20,4,16
19,2,19_2,0,0,20,0,20
35,9,35_9,0,0,20,0,20
28.0,36.0,28_36,4,5,20,1,15
32,19,32_19,0,5,20,5,15
0,21,0_21,0,5,20,5,15
1,37,1_37,0,0,20,0,20
27,19,27_19,0,2,20,2,18
11,13,11_13,0,0,19,0,19
27,2,27_2,0,0,19,0,19
0.0,12.0,0_12,1,1,19,0,18
0,28,0_28,0,1,19,1,18
24.0,13.0,24_13,1,2,19,1,17
3.0,25.0,3_25,1,1,19,0,18
24,29,24_29,0,6,19,6,13
31,19,31_19,0,1,19,1,18
30,29,30_29,0,0,19,0,19
0.0,16.0,0_16,19,19,19,0,0
27,18,27_18,0,0,19,0,19
33.0,1.0,33_1,2,3,19,1,16
18,37,18_37,0,2,19,2,17
37,27,37_27,0,0,19,0,19
19,9,19_9,0,0,19,0,19
33,26,33_26,0,0,19,0,19
29,26,29_26,0,0,19,0,19
3,17,3_17,0,2,19,2,17
32.0,17.0,32_17,1,5,19,4,14
27,28,27_28,0,1,19,1,18
28.0,17.0,28_17,1,3,19,2,16
11.0,12.0,11_12,2,5,18,3,13
8,27,8_27,0,3,18,3,15
28,18,28_18,0,2,18,2,16
8.0,2.0,8_2,6,8,18,2,10
23,26,23_26,0,0,18,0,18
37,39,37_39,0,0,18,0,18
23,15,23_15,0,0,18,0,18
28.0,0.0,28_0,1,2,18,1,16
34,12,34_12,0,2,18,2,16
1.0,22.0,1_22,1,1,18,0,17
15,36,15_36,0,0,18,0,18
27,0,27_0,0,0,18,0,18
17,2,17_2,0,0,18,0,18
33.0,15.0,33_15,1,2,18,1,16
5.0,25.0,5_25,8,10,18,2,8
14.0,27.0,14_27,2,5,18,3,13
14.0,18.0,14_18,3,5,18,2,13
19,33,19_33,0,7,18,7,11
27,29,27_29,0,0,18,0,18
30,27,30_27,0,0,18,0,18
35.0,22.0,35_22,1,4,17,3,13
29,38,29_38,0,0,17,0,17
3,27,3_27,0,2,17,2,15
5.0,17.0,5_17,5,5,17,0,12
24,12,24_12,0,3,17,3,14
0.0,13.0,0_13,1,2,17,1,15
37.0,25.0,37_25,1,3,17,2,14
34,21,34_21,0,3,17,3,14
31.0,21.0,31_21,11,11,17,0,6
14.0,17.0,14_17,3,6,16,3,10
30,23,30_23,0,0,16,0,16
30,0,30_0,0,3,16,3,13
33,32,33_32,0,2,16,2,14
18,21,18_21,0,1,16,1,15
7,37,7_37,0,0,16,0,16
37,17,37_17,0,0,16,0,16
19,37,19_37,0,1,16,1,15
29.0,10.0,29_10,2,2,15,0,13
23,11,23_11,0,1,15,1,14
39.0,8.0,39_8,1,1,15,0,14
18,28,18_28,0,0,15,0,15
24.0,2.0,24_2,2,2,15,0,13
3,29,3_29,0,0,15,0,15
17,9,17_9,0,3,15,3,12
14.0,9.0,14_9,10,10,15,0,5
14.0,21.0,14_21,8,10,15,2,5
17,31,17_31,0,1,15,1,14
37,36,37_36,0,0,15,0,15
38,12,38_12,0,0,15,0,15
33,38,33_38,0,0,15,0,15
14.0,29.0,14_29,3,4,15,1,11
17,28,17_28,0,0,14,0,14
32,27,32_27,0,4,14,4,10
5.0,23.0,5_23,1,1,14,0,13
8,36,8_36,0,0,14,0,14
31.0,17.0,31_17,3,3,14,0,11
31.0,18.0,31_18,1,3,14,2,11
14.0,0.0,14_0,1,3,14,2,11
8.0,18.0,8_18,1,1,14,0,13
37,28,37_28,0,3,14,3,11
33.0,39.0,33_39,1,1,14,0,13
31,27,31_27,0,2,14,2,12
17,37,17_37,0,0,13,0,13
31,23,31_23,0,2,13,2,11
0.0,33.0,0_33,2,4,13,2,9
0.0,31.0,0_31,1,3,13,2,10
29,6,29_6,0,3,13,3,10
14.0,22.0,14_22,6,9,13,3,4
24,36,24_36,0,1,13,1,12
24,28,24_28,0,2,13,2,11
14.0,13.0,14_13,4,6,13,2,7
18,12,18_12,0,1,13,1,12
32,23,32_23,0,1,13,1,12
5.0,18.0,5_18,4,4,13,0,9
34.0,33.0,34_33,2,9,13,7,4
34,22,34_22,0,3,13,3,10
29,15,29_15,0,3,13,3,10
19.0,22.0,19_22,1,2,13,1,11
3.0,37.0,3_37,2,6,13,4,7
34,9,34_9,0,0,12,0,12
34,31,34_31,0,9,12,9,3
11,33,11_33,0,1,12,1,11
11,21,11_21,0,0,12,0,12
3.0,2.0,3_2,3,3,12,0,9
27.0,23.0,27_23,1,1,12,0,11
27,27,27_27,0,1,12,1,11
23,19,23_19,0,2,12,2,10
23,32,23_32,0,0,12,0,12
5,27,5_27,0,0,12,0,12
17.0,36.0,17_36,6,8,12,2,4
5.0,34.0,5_34,12,12,12,0,0
12,37,12_37,0,1,12,1,11
29,1,29_1,0,3,12,3,9
24,33,24_33,0,6,12,6,6
30,2,30_2,0,0,12,0,12
5.0,3.0,5_3,10,11,12,1,1
33.0,19.0,33_19,1,1,12,0,11
12,22,12_22,0,1,12,1,11
28.0,13.0,28_13,1,2,12,1,10
28.0,12.0,28_12,5,9,12,4,3
37,13,37_13,0,0,11,0,11
8.0,0.0,8_0,1,1,11,0,10
11,22,11_22,0,0,11,0,11
3,33,3_33,0,2,11,2,9
32,29,32_29,0,4,11,4,7
0,37,0_37,0,0,11,0,11
23,38,23_38,0,0,11,0,11
11.0,9.0,11_9,1,1,11,0,10
39,5,39_5,0,1,11,1,10
32,18,32_18,0,1,11,1,10
29,39,29_39,0,1,11,1,10
32,0,32_0,0,0,11,0,11
23.0,13.0,23_13,6,6,11,0,5
37.0,12.0,37_12,1,4,10,3,6
3,13,3_13,0,2,10,2,8
3.0,9.0,3_9,6,6,10,0,4
31.0,0.0,31_0,4,4,10,0,6
39.0,4.0,39_4,1,1,10,0,9
30,18,30_18,0,0,10,0,10
24,21,24_21,0,0,10,0,10
29,32,29_32,0,0,10,0,10
30,12,30_12,0,4,10,4,6
3,36,3_36,0,0,10,0,10
8,29,8_29,0,6,10,6,4
27,12,27_12,0,1,10,1,9
39,26,39_26,0,4,9,4,5
8.0,21.0,8_21,2,2,9,0,7
8,28,8_28,0,1,9,1,8
8.0,13.0,8_13,1,1,9,0,8
28,29,28_29,0,0,9,0,9
30,36,30_36,0,0,9,0,9
27,33,27_33,0,1,9,1,8
30,31,30_31,0,0,9,0,9
4,28,4_28,0,0,9,0,9
30,9,30_9,0,0,9,0,9
31,29,31_29,0,0,9,0,9
32,25,32_25,0,1,9,1,8
5,29,5_29,0,0,9,0,9
32,28,32_28,0,4,9,4,5
3.0,22.0,3_22,1,3,9,2,6
7,22,7_22,0,0,9,0,9
33,23,33_23,0,1,9,1,8
11,36,11_36,0,0,8,0,8
23,23,23_23,0,2,8,2,6
37,21,37_21,0,0,8,0,8
29,19,29_19,0,0,8,0,8
8.0,31.0,8_31,4,6,8,2,2
31.0,25.0,31_25,1,1,8,0,7
3,21,3_21,0,1,8,1,7
28,28,28_28,0,0,8,0,8
8.0,12.0,8_12,1,2,8,1,6
34,37,34_37,0,4,8,4,4
15,37,15_37,0,1,8,1,7
5.0,13.0,5_13,1,1,8,0,7
24,9,24_9,0,0,8,0,8
24,37,24_37,0,1,8,1,7
24.0,31.0,24_31,1,3,8,2,5
14,28,14_28,0,1,8,1,7
14.0,33.0,14_33,3,4,8,1,4
23,39,23_39,0,0,8,0,8
5.0,36.0,5_36,3,4,8,1,4
3,28,3_28,0,0,8,0,8
11,37,11_37,0,0,8,0,8
0.0,7.0,0_7,7,8,8,1,0
30,33,30_33,0,0,8,0,8
28,21,28_21,0,0,7,0,7
29,27,29_27,0,0,7,0,7
27,9,27_9,0,0,7,0,7
39.0,11.0,39_11,1,3,7,2,4
39,24,39_24,0,0,7,0,7
33.0,12.0,33_12,1,2,7,1,5
33,17,33_17,0,0,7,0,7
33.0,18.0,33_18,1,3,7,2,4
32,2,32_2,0,0,7,0,7
14.0,31.0,14_31,3,4,7,1,3
38,21,38_21,0,0,7,0,7
5.0,21.0,5_21,2,3,7,1,4
3,12,3_12,0,0,7,0,7
31,2,31_2,0,1,6,1,5
31.0,22.0,31_22,3,3,6,0,3
31,28,31_28,0,0,6,0,6
3,31,3_31,0,0,6,0,6
31,13,31_13,0,1,6,1,5
23.0,10.0,23_10,1,1,6,0,5
19,36,19_36,0,0,6,0,6
37,2,37_2,0,0,6,0,6
22.0,34.0,22_34,5,5,6,0,1
23,27,23_27,0,0,6,0,6
13.0,14.0,13_14,6,6,6,0,0
29,17,29_17,0,2,6,2,4
23.0,1.0,23_1,1,1,6,0,5
39,32,39_32,0,2,6,2,4
14,36,14_36,0,0,6,0,6
30,13,30_13,0,0,6,0,6
14.0,12.0,14_12,1,1,6,0,5
33,25,33_25,0,2,6,2,4
15.0,16.0,15_16,5,5,5,0,0
18,36,18_36,0,0,5,0,5
32,21,32_21,0,0,5,0,5
27,31,27_31,0,0,5,0,5
32,13,32_13,0,1,5,1,4
4.0,34.0,4_34,4,5,5,1,0
5,12,5_12,0,0,5,0,5
5,28,5_28,0,0,5,0,5
23.0,17.0,23_17,1,1,5,0,4
23,18,23_18,0,1,5,1,4
33,27,33_27,0,0,5,0,5
24,34,24_34,0,0,5,0,5
29.0,2.0,29_2,1,1,5,0,4
39,23,39_23,0,2,5,2,3
28.0,31.0,28_31,1,2,5,1,3
33.0,36.0,33_36,1,5,5,4,0
34,34,34_34,0,0,5,0,5
28,2,28_2,0,0,5,0,5
39,15,39_15,0,1,5,1,4
39,38,39_38,0,0,5,0,5
15,34,15_34,0,0,5,0,5
33.0,0.0,33_0,1,2,5,1,3
5.0,33.0,5_33,1,1,5,0,4
30,21,30_21,0,0,5,0,5
39,6,39_6,0,1,5,1,4
39.0,10.0,39_10,1,1,5,0,4
37,9,37_9,0,0,5,0,5
14,37,14_37,0,3,4,3,1
39,19,39_19,0,1,4,1,3
32,37,32_37,0,0,4,0,4
32,31,32_31,0,2,4,2,2
31.0,31.0,31_31,1,1,4,0,3
31,12,31_12,0,0,4,0,4
8,9,8_9,0,0,4,0,4
27,13,27_13,0,0,4,0,4
8,33,8_33,0,3,4,3,1
32,12,32_12,0,1,4,1,3
28,9,28_9,0,1,4,1,3
11.0,34.0,11_34,4,4,4,0,0
11.0,3.0,11_3,4,4,4,0,0
28,33,28_33,0,1,4,1,3
33,28,33_28,0,0,4,0,4
29,25,29_25,0,0,4,0,4
29,36,29_36,0,0,4,0,4
33.0,21.0,33_21,2,2,4,0,2
5,22,5_22,0,0,4,0,4
32,9,32_9,0,0,4,0,4
31,36,31_36,0,4,4,4,0
32,33,32_33,0,3,4,3,1
5.0,31.0,5_31,1,1,4,0,3
38,36,38_36,0,0,4,0,4
33.0,33.0,33_33,2,2,3,0,1
33.0,22.0,33_22,3,3,3,0,0
39,2,39_2,0,2,3,2,1
23,29,23_29,0,0,3,0,3
31,37,31_37,0,1,3,1,2
5.0,20.0,5_20,2,2,3,0,1
33,13,33_13,0,0,3,0,3
39,27,39_27,0,2,3,2,1
39,17,39_17,0,0,3,0,3
31,33,31_33,0,0,3,0,3
23,0,23_0,0,0,3,0,3
0.0,3.0,0_3,3,3,3,0,0
33.0,31.0,33_31,1,1,3,0,2
33,29,33_29,0,0,3,0,3
39.0,25.0,39_25,1,1,3,0,2
29,18,29_18,0,0,3,0,3
29,23,29_23,0,1,3,1,2
23,25,23_25,0,0,3,0,3
31.0,7.0,31_7,2,2,2,0,0
33,2,33_2,0,0,2,0,2
14.0,3.0,14_3,2,2,2,0,0
29,0,29_0,0,0,2,0,2
36.0,23.0,36_23,2,2,2,0,0
8,37,8_37,0,0,2,0,2
23,9,23_9,0,0,2,0,2
9.0,34.0,9_34,2,2,2,0,0
36.0,19.0,36_19,2,2,2,0,0
34,36,34_36,0,0,2,0,2
23,2,23_2,0,0,2,0,2
29,29,29_29,0,0,2,0,2
33,9,33_9,0,1,2,1,1
29,33,29_33,0,0,2,0,2
14.0,34.0,14_34,2,2,2,0,0
23.0,33.0,23_33,1,1,2,0,1
32,22,32_22,0,0,2,0,2
5.0,37.0,5_37,1,1,2,0,1
39.0,31.0,39_31,1,1,2,0,1
39,39,39_39,0,0,2,0,2
14.0,7.0,14_7,2,2,2,0,0
37.0,31.0,37_31,2,2,2,0,0
29,13,29_13,0,0,2,0,2
13.0,29.0,13_29,2,2,2,0,0
23,12,23_12,0,0,2,0,2
39.0,1.0,39_1,1,1,2,0,1
39.0,9.0,39_9,2,2,2,0,0
29.0,31.0,29_31,1,2,2,1,0
31.0,16.0,31_16,1,1,1,0,0
3.0,34.0,3_34,1,1,1,0,0
4.0,3.0,4_3,1,1,1,0,0
30,37,30_37,0,0,1,0,1
31,9,31_9,0,0,1,0,1
9.0,7.0,9_7,1,1,1,0,0
35.0,3.0,35_3,1,1,1,0,0
9.0,3.0,9_3,1,1,1,0,0
10.0,16.0,10_16,1,1,1,0,0
16.0,34.0,16_34,1,1,1,0,0
27,21,27_21,0,0,1,0,1
8.0,7.0,8_7,1,1,1,0,0
23,28,23_28,0,0,1,0,1
39,18,39_18,0,1,1,1,0
39,13,39_13,0,1,1,1,0
39,0,39_0,0,0,1,0,1
39,12,39_12,0,0,1,0,1
32,36,32_36,0,0,1,0,1
6.0,30.0,6_30,1,1,1,0,0
39,37,39_37,0,0,1,0,1
39,36,39_36,0,1,1,1,0
39.0,3.0,39_3,1,1,1,0,0
39,29,39_29,0,1,1,1,0
39,28,39_28,0,0,1,0,1
5.0,7.0,5_7,1,1,1,0,0
39.0,34.0,39_34,1,1,1,0,0
39,33,39_33,0,0,1,0,1
30,22,30_22,0,0,1,0,1
23,37,23_37,0,1,1,1,0
23,31,23_31,0,0,1,0,1
15.0,3.0,15_3,1,1,1,0,0
5.0,16.0,5_16,1,1,1,0,0
15.0,7.0,15_7,1,1,1,0,0
29,9,29_9,0,0,1,0,1
33.0,3.0,33_3,1,1,1,0,0
33.0,34.0,33_34,1,1,1,0,0
14.0,16.0,14_16,1,1,1,0,0
29,21,29_21,0,1,1,1,0
23,22,23_22,0,1,1,1,0
28,37,28_37,0,0,1,0,1
36.0,25.0,36_25,1,1,1,0,0
25.0,3.0,25_3,1,1,1,0,0
28,22,28_22,0,0,1,0,1
8,22,8_22,0,0,1,0,1
0.0,20.0,0_20,1,1,1,0,0
