risk_cid,interv_cid,key,n_paths_c0,n_paths_c1,n_paths_c2,c1_boost,c2_boost
15.0,1.0,15_1,2,10,221,8,211
10,21,10_21,0,13,219,13,206
25,18,25_18,0,9,217,9,208
35,39,35_39,0,20,216,20,196
27,35,27_35,0,4,215,4,211
24,6,24_6,0,19,215,19,196
19,32,19_32,0,20,213,20,193
28,35,28_35,0,21,212,21,191
19,38,19_38,0,3,212,3,209
26.0,28.0,26_28,1,47,211,46,164
18,10,18_10,0,25,210,25,185
10,12,10_12,0,0,205,0,205
21.0,13.0,21_13,1,85,205,84,120
24,11,24_11,0,28,205,28,177
38,32,38_32,0,9,205,9,196
34,24,34_24,0,72,204,72,132
15.0,32.0,15_32,1,16,203,15,187
14.0,35.0,14_35,5,43,202,38,159
9,27,9_27,0,31,200,31,169
4.0,32.0,4_32,5,29,199,24,170
10,28,10_28,0,13,198,13,185
2.0,23.0,2_23,1,22,196,21,174
27.0,11.0,27_11,1,1,196,0,195
4.0,19.0,4_19,58,74,194,16,120
9.0,25.0,9_25,8,24,193,16,169
4,10,4_10,0,25,193,25,168
25,29,25_29,0,62,192,62,130
12.0,19.0,12_19,1,9,192,8,183
6.0,0.0,6_0,1,14,191,13,177
1,19,1_19,0,28,190,28,162
24.0,24.0,24_24,2,42,187,40,145
38,1,38_1,0,0,187,0,187
30.0,4.0,30_4,8,40,185,32,145
16,28,16_28,0,22,185,22,163
33,8,33_8,0,9,184,9,175
4.0,1.0,4_1,4,20,184,16,164
10,31,10_31,0,84,183,84,99
2,19,2_19,0,36,183,36,147
17.0,15.0,17_15,4,23,181,19,158
22.0,23.0,22_23,1,15,180,14,165
10.0,33.0,10_33,1,79,180,78,101
3.0,5.0,3_5,1,29,176,28,147
1,23,1_23,0,10,175,10,165
18,32,18_32,0,31,174,31,143
21,2,21_2,0,4,173,4,169
17,10,17_10,0,15,172,15,157
10,9,10_9,0,0,172,0,172
22.0,19.0,22_19,2,19,171,17,152
4.0,23.0,4_23,26,61,171,35,110
20,19,20_19,0,30,169,30,139
11,26,11_26,0,2,168,2,166
0.0,38.0,0_38,1,6,167,5,161
18,39,18_39,0,22,166,22,144
10,36,10_36,0,0,166,0,166
9.0,0.0,9_0,7,20,165,13,145
19.0,10.0,19_10,3,23,165,20,142
16,13,16_13,0,23,165,23,142
7,19,7_19,0,44,164,44,120
27.0,4.0,27_4,2,17,163,15,146
11,10,11_10,0,6,163,6,157
16,12,16_12,0,2,163,2,161
26,0,26_0,0,12,163,12,151
34,38,34_38,0,11,162,11,151
30,24,30_24,0,24,160,24,136
25,28,25_28,0,26,159,26,133
6.0,18.0,6_18,2,33,158,31,125
16.0,2.0,16_2,1,2,158,1,156
17,39,17_39,0,3,157,3,154
17,26,17_26,0,3,156,3,153
11.0,1.0,11_1,1,5,156,4,151
9.0,18.0,9_18,2,34,155,32,121
16,21,16_21,0,2,155,2,153
9.0,17.0,9_17,1,30,155,29,125
30.0,11.0,30_11,1,13,154,12,141
18.0,1.0,18_1,1,14,154,13,140
38,19,38_19,0,17,154,17,137
6.0,2.0,6_2,5,32,153,27,121
7.0,17.0,7_17,1,31,153,30,122
37,6,37_6,0,8,149,8,141
20.0,23.0,20_23,1,13,149,12,136
35.0,25.0,35_25,5,19,149,14,130
31.0,35.0,31_35,1,12,148,11,136
11,15,11_15,0,4,148,4,144
27,5,27_5,0,2,147,2,145
1,25,1_25,0,15,146,15,131
35.0,23.0,35_23,5,22,146,17,124
19.0,19.0,19_19,1,26,144,25,118
35.0,36.0,35_36,1,2,144,1,142
0,10,0_10,0,16,144,16,128
35.0,27.0,35_27,1,42,143,41,101
14.0,5.0,14_5,17,42,143,25,101
6,29,6_29,0,29,143,29,114
19,39,19_39,0,12,142,12,130
12.0,25.0,12_25,1,8,142,7,134
34,39,34_39,0,29,142,29,113
32,35,32_35,0,32,142,32,110
30,5,30_5,0,8,141,8,133
0.0,0.0,0_0,76,103,141,27,38
17.0,1.0,17_1,5,14,141,9,127
25,13,25_13,0,1,141,1,140
2.0,25.0,2_25,1,13,141,12,128
2,27,2_27,0,14,141,14,127
34,10,34_10,0,29,139,29,110
0.0,15.0,0_15,2,29,139,27,110
3,4,3_4,0,12,138,12,126
15.0,19.0,15_19,1,10,138,9,128
12,0,12_0,0,7,137,7,130
29.0,8.0,29_8,1,2,137,1,135
10,37,10_37,0,11,137,11,126
11,39,11_39,0,3,136,3,133
21,21,21_21,0,4,133,4,129
11,32,11_32,0,5,132,5,127
32,5,32_5,0,27,132,27,105
28.0,5.0,28_5,1,10,130,9,120
6.0,13.0,6_13,2,33,130,31,97
35.0,2.0,35_2,2,41,129,39,88
8.0,4.0,8_4,2,22,127,20,105
2,17,2_17,0,27,127,27,100
28.0,4.0,28_4,4,18,127,14,109
10,22,10_22,0,8,127,8,119
19.0,1.0,19_1,4,24,127,20,103
34,26,34_26,0,19,126,19,107
20,17,20_17,0,28,126,28,98
1,27,1_27,0,9,126,9,117
7,27,7_27,0,5,126,5,121
26,13,26_13,0,4,125,4,121
4.0,27.0,4_27,7,21,125,14,104
34,15,34_15,0,35,124,35,89
5.0,35.0,5_35,13,21,124,8,103
37,5,37_5,0,5,124,5,119
17,32,17_32,0,7,121,7,114
3,11,3_11,0,1,121,1,120
1,17,1_17,0,19,119,19,100
8.0,5.0,8_5,3,23,119,20,96
3,24,3_24,0,7,119,7,112
0,39,0_39,0,7,118,7,111
0.0,1.0,0_1,12,28,118,16,90
38.0,23.0,38_23,1,10,118,9,108
3.0,6.0,3_6,1,8,117,7,109
31.0,5.0,31_5,16,22,117,6,95
27,24,27_24,0,2,117,2,115
15.0,25.0,15_25,24,35,117,11,82
20.0,0.0,20_0,3,5,116,2,111
32.0,4.0,32_4,3,26,116,23,90
0.0,34.0,0_34,70,104,116,34,12
26,22,26_22,0,14,116,14,102
26.0,2.0,26_2,1,1,116,0,115
2.0,0.0,2_0,1,6,115,5,109
1,0,1_0,0,1,114,1,113
37.0,4.0,37_4,2,6,114,4,108
35,18,35_18,0,7,114,7,107
24.0,15.0,24_15,1,13,112,12,99
12,18,12_18,0,6,112,6,106
28.0,11.0,28_11,1,13,112,12,99
22,25,22_25,0,9,111,9,102
20,27,20_27,0,16,110,16,94
8.0,11.0,8_11,5,32,110,27,78
0.0,26.0,0_26,4,11,110,7,99
38.0,27.0,38_27,1,13,110,12,97
24,10,24_10,0,12,109,12,97
23,8,23_8,0,23,108,23,85
35.0,17.0,35_17,1,18,108,17,90
15,23,15_23,0,3,108,3,105
9,29,9_29,0,18,106,18,88
24,39,24_39,0,13,106,13,93
24,26,24_26,0,17,106,17,89
18,19,18_19,0,32,106,32,74
22.0,18.0,22_18,13,21,105,8,84
25,2,25_2,0,1,105,1,104
20,25,20_25,0,7,105,7,98
9.0,36.0,9_36,2,33,105,31,72
28.0,6.0,28_6,2,11,105,9,94
24,38,24_38,0,3,105,3,102
22.0,17.0,22_17,8,19,104,11,85
17.0,22.0,17_22,11,34,104,23,70
19.0,17.0,19_17,2,23,104,21,81
7,25,7_25,0,0,102,0,102
26,31,26_31,0,33,101,33,68
